#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591375,56134730,H1O00_gp02,H1O00_gp02,GROOT_2,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591375,56134771,H1O00_gp43,H1O00_gp43,GROOT_43,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20210123,-
2591375,56134772,H1O00_gp44,H1O00_gp44,GROOT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134773,H1O00_gp45,H1O00_gp45,GROOT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2591375,56134774,H1O00_gp46,H1O00_gp46,GROOT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134775,H1O00_gp47,H1O00_gp47,GROOT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134776,H1O00_gp48,H1O00_gp48,GROOT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134777,H1O00_gp49,H1O00_gp49,GROOT_49,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200724,-
2591375,56134778,H1O00_gp50,H1O00_gp50,GROOT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134779,H1O00_gp51,H1O00_gp51,GROOT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134780,H1O00_gp52,H1O00_gp52,GROOT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134781,H1O00_gp53,H1O00_gp53,GROOT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134782,H1O00_gp54,H1O00_gp54,GROOT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134783,H1O00_gp55,H1O00_gp55,GROOT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134784,H1O00_gp56,H1O00_gp56,GROOT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134785,H1O00_gp57,H1O00_gp57,GROOT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134786,H1O00_gp58,H1O00_gp58,GROOT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134787,H1O00_gp59,H1O00_gp59,GROOT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134788,H1O00_gp60,H1O00_gp60,GROOT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134789,H1O00_gp61,H1O00_gp61,GROOT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134790,H1O00_gp62,H1O00_gp62,GROOT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134791,H1O00_gp63,H1O00_gp63,GROOT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134792,H1O00_gp64,H1O00_gp64,GROOT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134793,H1O00_gp65,H1O00_gp65,GROOT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134794,H1O00_gp66,H1O00_gp66,GROOT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134795,H1O00_gp67,H1O00_gp67,GROOT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134796,H1O00_gp68,H1O00_gp68,GROOT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134797,H1O00_gp69,H1O00_gp69,GROOT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134798,H1O00_gp70,H1O00_gp70,GROOT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134799,H1O00_gp71,H1O00_gp71,GROOT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134800,H1O00_gp72,H1O00_gp72,GROOT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134801,H1O00_gp73,H1O00_gp73,GROOT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134802,H1O00_gp74,H1O00_gp74,GROOT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134803,H1O00_gp75,H1O00_gp75,GROOT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134804,H1O00_gp76,H1O00_gp76,GROOT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134805,H1O00_gp77,H1O00_gp77,GROOT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134806,H1O00_gp78,H1O00_gp78,GROOT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134807,H1O00_gp79,H1O00_gp79,GROOT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134808,H1O00_gp80,H1O00_gp80,GROOT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134809,H1O00_gp81,H1O00_gp81,GROOT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134810,H1O00_gp82,H1O00_gp82,GROOT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134811,H1O00_gp83,H1O00_gp83,GROOT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134812,H1O00_gp84,H1O00_gp84,GROOT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134813,H1O00_gp85,H1O00_gp85,GROOT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134814,H1O00_gp86,H1O00_gp86,GROOT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134815,H1O00_gp87,H1O00_gp87,GROOT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134816,H1O00_gp88,H1O00_gp88,GROOT_88,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210424,-
2591375,56134817,H1O00_gp01,H1O00_gp01,GROOT_1,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591375,56166663,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
