#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2681621,11294559,clP1_057,clP1_057,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201222,-
2681621,11294586,clP1_037,clP1_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294587,clP1_038,clP1_038,-,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201222,-
2681621,11294588,clP1_040,clP1_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294589,clP1_041,clP1_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294590,clP1_042,clP1_042,-,-,-,-,primase,protein-coding,-,-,-,primase,20201222,-
2681621,11294591,clP1_045,clP1_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294592,clP1_044,clP1_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294593,clP1_043,clP1_043,-,-,-,-,NTP-binding helicase,protein-coding,-,-,-,NTP-binding helicase,20201222,-
2681621,11294594,clP1_046,clP1_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294595,clP1_049,clP1_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294596,clP1_048,clP1_048,-,-,-,-,holin,protein-coding,-,-,-,holin,20201222,-
2681621,11294597,clP1_047,clP1_047,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201222,-
2681621,11294598,clP1_052,clP1_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294599,clP1_051,clP1_051,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2681621,11294600,clP1_050,clP1_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294601,clP1_055,clP1_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294602,clP1_054,clP1_054,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201222,-
2681621,11294603,clP1_053,clP1_053,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201222,-
2681621,11294604,clP1_056,clP1_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294605,clP1_011,clP1_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294606,clP1_001,clP1_001,-,-,-,-,head to tail joining protein,protein-coding,-,-,-,head to tail joining protein,20201222,-
2681621,11294607,clP1_002,clP1_002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294608,clP1_003,clP1_003,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201222,-
2681621,11294609,clP1_004,clP1_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294610,clP1_005,clP1_005,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201222,-
2681621,11294611,clP1_006,clP1_006,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201222,-
2681621,11294612,clP1_007,clP1_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294613,clP1_008,clP1_008,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20201222,-
2681621,11294614,clP1_009,clP1_009,-,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20201222,-
2681621,11294615,clP1_010,clP1_010,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201222,-
2681621,44003877,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
