#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527514,20284416,LD29_gp02,LD29_gp02,EK99P-1_0002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527514,20284438,LD29_gp24,LD29_gp24,EK99P-1_0024,-,-,-,putative tail fiber tip protein,protein-coding,-,-,-,putative tail fiber tip protein,20201221,-
1527514,20284439,LD29_gp25,LD29_gp25,EK99P-1_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284440,LD29_gp26,LD29_gp26,EK99P-1_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284441,LD29_gp27,LD29_gp27,EK99P-1_0027,-,-,-,putative tail tip protein,protein-coding,-,-,-,putative tail tip protein,20201221,-
1527514,20284442,LD29_gp28,LD29_gp28,EK99P-1_0028,-,-,-,olfactory receptor,protein-coding,-,-,-,olfactory receptor,20201221,-
1527514,20284443,LD29_gp29,LD29_gp29,EK99P-1_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284444,LD29_gp30,LD29_gp30,EK99P-1_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284445,LD29_gp31,LD29_gp31,EK99P-1_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284446,LD29_gp32,LD29_gp32,EK99P-1_0032,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1527514,20284447,LD29_gp33,LD29_gp33,EK99P-1_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284448,LD29_gp34,LD29_gp34,EK99P-1_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284449,LD29_gp35,LD29_gp35,EK99P-1_0035,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1527514,20284450,LD29_gp36,LD29_gp36,EK99P-1_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284451,LD29_gp37,LD29_gp37,EK99P-1_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284452,LD29_gp38,LD29_gp38,EK99P-1_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284453,LD29_gp39,LD29_gp39,EK99P-1_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284454,LD29_gp40,LD29_gp40,EK99P-1_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284455,LD29_gp41,LD29_gp41,EK99P-1_0041,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1527514,20284456,LD29_gp42,LD29_gp42,EK99P-1_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284457,LD29_gp43,LD29_gp43,EK99P-1_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284458,LD29_gp44,LD29_gp44,EK99P-1_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284459,LD29_gp45,LD29_gp45,EK99P-1_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284460,LD29_gp46,LD29_gp46,EK99P-1_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284461,LD29_gp47,LD29_gp47,EK99P-1_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284462,LD29_gp48,LD29_gp48,EK99P-1_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284463,LD29_gp49,LD29_gp49,EK99P-1_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284464,LD29_gp50,LD29_gp50,EK99P-1_0050,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20201221,-
1527514,20284465,LD29_gp51,LD29_gp51,EK99P-1_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284466,LD29_gp52,LD29_gp52,EK99P-1_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284467,LD29_gp53,LD29_gp53,EK99P-1_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284468,LD29_gp54,LD29_gp54,EK99P-1_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284469,LD29_gp55,LD29_gp55,EK99P-1_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284470,LD29_gp56,LD29_gp56,EK99P-1_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284471,LD29_gp57,LD29_gp57,EK99P-1_0057,-,-,-,putative holin-like class I protein,protein-coding,-,-,-,putative holin-like class I protein,20201221,-
1527514,20284472,LD29_gp58,LD29_gp58,EK99P-1_0058,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1527514,20284473,LD29_gp59,LD29_gp59,EK99P-1_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284474,LD29_gp60,LD29_gp60,EK99P-1_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284475,LD29_gp61,LD29_gp61,EK99P-1_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284476,LD29_gp62,LD29_gp62,EK99P-1_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284477,LD29_gp01,LD29_gp01,EK99P-1_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20340433,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage EK99P-1).,other,-,-,-,-,20200513,-
