#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
424947,17494502,V184_gp02,V184_gp02,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20201220,-
424947,17494538,V184_gp38,V184_gp38,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
424947,17494539,V184_gp39,V184_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494540,V184_gp40,V184_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494541,V184_gp41,V184_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494542,V184_gp42,V184_gp42,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
424947,17494543,V184_gp43,V184_gp43,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
424947,17494544,V184_gp44,V184_gp44,-,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20200629,-
424947,17494545,V184_gp45,V184_gp45,-,-,-,-,putative primase/helicase protein,protein-coding,-,-,-,putative primase/helicase protein,20200629,-
424947,17494546,V184_gp46,V184_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494547,V184_gp47,V184_gp47,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
424947,17494548,V184_gp48,V184_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494549,V184_gp49,V184_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494550,V184_gp50,V184_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494551,V184_gp51,V184_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494552,V184_gp52,V184_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494553,V184_gp53,V184_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494554,V184_gp54,V184_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494555,V184_gp55,V184_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494556,V184_gp56,V184_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494557,V184_gp57,V184_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494558,V184_gp58,V184_gp58,-,-,-,-,putative class I holin,protein-coding,-,-,-,putative class I holin,20200629,-
424947,17494559,V184_gp59,V184_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494560,V184_gp60,V184_gp60,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200629,-
424947,17494561,V184_gp61,V184_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494562,V184_gp62,V184_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494563,V184_gp63,V184_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494564,V184_gp64,V184_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
424947,17494565,V184_gp65,V184_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494566,V184_gp66,V184_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494567,V184_gp67,V184_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494568,V184_gp01,V184_gp01,-,-,-,-,putative phage terminase small subunit,protein-coding,-,-,-,putative phage terminase small subunit,20200629,-
424947,17603257,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
