#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
3077,1457466,ChvulCp134,ChvulCp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457467,ChvulCp138,ChvulCp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457468,ChvulCp140,ChvulCp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457469,ChvulCp142,ChvulCp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457470,ChvulCp143,ChvulCp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457471,ChvulCp144,ChvulCp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457472,ChvulCp145,ChvulCp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457473,ChvulCp149,ChvulCp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457474,ChvulCp152,ChvulCp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457475,ChvulCp154,ChvulCp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457476,ChvulCp155,ChvulCp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457477,ChvulCp158,ChvulCp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457478,ChvulCp159,ChvulCp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457479,ChvulCp160,ChvulCp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457480,ChvulCp163,ChvulCp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457481,ChvulCp168,ChvulCp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457482,ChvulCp174,ChvulCp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
