#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767587,64472199,KGG96_gp02,KGG96_gp02,CPT_Sitrop_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767587,64472258,KGG96_gt01,KGG96_gt01,CPT_Sitrop_061,-,-,-,tRNA,tRNA,-,-,-,-,20210505,-
2767587,64472259,KGG96_gp77,KGG96_gp77,CPT_Sitrop_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472260,KGG96_gp76,KGG96_gp76,CPT_Sitrop_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472261,KGG96_gp75,KGG96_gp75,CPT_Sitrop_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472262,KGG96_gp74,KGG96_gp74,CPT_Sitrop_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472263,KGG96_gp73,KGG96_gp73,CPT_Sitrop_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472264,KGG96_gp72,KGG96_gp72,CPT_Sitrop_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472265,KGG96_gp71,KGG96_gp71,CPT_Sitrop_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472266,KGG96_gp70,KGG96_gp70,CPT_Sitrop_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472267,KGG96_gp69,KGG96_gp69,CPT_Sitrop_070,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20210505,-
2767587,64472268,KGG96_gp68,KGG96_gp68,CPT_Sitrop_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472269,KGG96_gp67,KGG96_gp67,CPT_Sitrop_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472270,KGG96_gp66,KGG96_gp66,CPT_Sitrop_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472271,KGG96_gp65,KGG96_gp65,CPT_Sitrop_074,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2767587,64472272,KGG96_gp64,KGG96_gp64,CPT_Sitrop_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472273,KGG96_gp63,KGG96_gp63,CPT_Sitrop_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472274,KGG96_gp62,KGG96_gp62,CPT_Sitrop_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472275,KGG96_gp61,KGG96_gp61,CPT_Sitrop_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472276,KGG96_gp01,KGG96_gp01,CPT_Sitrop_001,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2767587,64792273,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
