#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1857099,30310453,BOX12_gp02,BOX12_gp02,BPS11Q3_2,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200629,-
1857099,30310483,BOX12_gp32,BOX12_gp32,BPS11Q3_32,-,-,-,UvsX-like protein,protein-coding,-,-,-,UvsX-like protein,20200629,-
1857099,30310484,BOX12_gp33,BOX12_gp33,BPS11Q3_33,-,-,-,replicative helicase primase,protein-coding,-,-,-,replicative helicase primase,20200629,-
1857099,30310485,BOX12_gp34,BOX12_gp34,BPS11Q3_34,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
1857099,30310486,BOX12_gp35,BOX12_gp35,BPS11Q3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310487,BOX12_gp36,BOX12_gp36,BPS11Q3_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310488,BOX12_gp37,BOX12_gp37,BPS11Q3_37,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210327,-
1857099,30310489,BOX12_gp38,BOX12_gp38,BPS11Q3_38,-,-,-,intein-containing DNA polymerase precursor,protein-coding,-,-,-,intein-containing DNA polymerase precursor,20200629,-
1857099,30310490,BOX12_gp39,BOX12_gp39,BPS11Q3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310491,BOX12_gp40,BOX12_gp40,BPS11Q3_40,-,-,-,NHN endonuclease,protein-coding,-,-,-,NHN endonuclease,20200629,-
1857099,30310492,BOX12_gp41,BOX12_gp41,BPS11Q3_41,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20200629,-
1857099,30310493,BOX12_gp42,BOX12_gp42,BPS11Q3_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310494,BOX12_gp43,BOX12_gp43,BPS11Q3_43,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1857099,30310495,BOX12_gp44,BOX12_gp44,BPS11Q3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310496,BOX12_gp45,BOX12_gp45,BPS11Q3_45,-,-,-,tail spike protein,protein-coding,-,-,-,tail spike protein,20200629,-
1857099,30310497,BOX12_gp46,BOX12_gp46,BPS11Q3_46,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1857099,30310498,BOX12_gp47,BOX12_gp47,BPS11Q3_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310499,BOX12_gp48,BOX12_gp48,BPS11Q3_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310500,BOX12_gp49,BOX12_gp49,BPS11Q3_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310501,BOX12_gp50,BOX12_gp50,BPS11Q3_50,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1857099,30310502,BOX12_gp51,BOX12_gp51,BPS11Q3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310503,BOX12_gp52,BOX12_gp52,BPS11Q3_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310504,BOX12_gp53,BOX12_gp53,BPS11Q3_53,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210129,-
1857099,30310505,BOX12_gp54,BOX12_gp54,BPS11Q3_54,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,protein-coding,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,20200629,-
1857099,30310506,BOX12_gp55,BOX12_gp55,BPS11Q3_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310507,BOX12_gp56,BOX12_gp56,BPS11Q3_56,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
1857099,30310508,BOX12_gp57,BOX12_gp57,BPS11Q3_57,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1857099,30310509,BOX12_gp58,BOX12_gp58,BPS11Q3_58,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210129,-
1857099,30310510,BOX12_gp59,BOX12_gp59,BPS11Q3_59,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1857099,30310511,BOX12_gp60,BOX12_gp60,BPS11Q3_60,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1857099,30310512,BOX12_gp61,BOX12_gp61,BPS11Q3_61,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1857099,30310513,BOX12_gp62,BOX12_gp62,BPS11Q3_62,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200629,-
1857099,30310514,BOX12_gp63,BOX12_gp63,BPS11Q3_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310515,BOX12_gp64,BOX12_gp64,BPS11Q3_64,-,-,-,hoc protein,protein-coding,-,-,-,hoc protein,20200629,-
1857099,30310516,BOX12_gp65,BOX12_gp65,BPS11Q3_65,-,-,-,head protein,protein-coding,-,-,-,head protein,20200629,-
1857099,30310517,BOX12_gp01,BOX12_gp01,BPS11Q3_1,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20200629,-
1857099,30316109,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella bacteriophage BPS11Q3).,other,-,-,-,-,20200513,-
