#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590400,56166729,H3H22_gp02,H3H22_gp02,Lys12581Vzw_02,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210406,-
2590400,56166766,H3H22_gp67,H3H22_gp67,Lys12581Vzw_39,-,-,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20210417,-
2590400,56166767,H3H22_gp66,H3H22_gp66,Lys12581Vzw_40,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20210417,-
2590400,56166768,H3H22_gp65,H3H22_gp65,Lys12581Vzw_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2590400,56166769,H3H22_gp64,H3H22_gp64,Lys12581Vzw_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166770,H3H22_gp63,H3H22_gp63,Lys12581Vzw_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2590400,56166771,H3H22_gp62,H3H22_gp62,Lys12581Vzw_44,-,-,-,cell division inhibitor protein,protein-coding,-,-,-,cell division inhibitor protein,20200905,-
2590400,56166772,H3H22_gp61,H3H22_gp61,Lys12581Vzw_45,-,-,-,AbrB family transcriptional regulator,protein-coding,-,-,-,AbrB family transcriptional regulator,20200728,-
2590400,56166773,H3H22_gp60,H3H22_gp60,Lys12581Vzw_46,-,-,-,host nuclease inhibitor,protein-coding,-,-,-,host nuclease inhibitor,20210327,-
2590400,56166774,H3H22_gp59,H3H22_gp59,Lys12581Vzw_47,-,-,-,DNA recombination protein,protein-coding,-,-,-,DNA recombination protein,20210327,-
2590400,56166775,exo,H3H22_gp58,Lys12581Vzw_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210123,-
2590400,56166776,H3H22_gp57,H3H22_gp57,Lys12581Vzw_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166777,H3H22_gp56,H3H22_gp56,Lys12581Vzw_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166778,H3H22_gp55,H3H22_gp55,Lys12581Vzw_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2590400,56166779,H3H22_gp54,H3H22_gp54,Lys12581Vzw_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166780,H3H22_gp53,H3H22_gp53,Lys12581Vzw_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166781,H3H22_gp52,H3H22_gp52,Lys12581Vzw_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166782,H3H22_gp51,H3H22_gp51,Lys12581Vzw_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166783,H3H22_gp50,H3H22_gp50,Lys12581Vzw_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166784,H3H22_gp49,H3H22_gp49,Lys12581Vzw_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166785,H3H22_gp48,H3H22_gp48,Lys12581Vzw_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2590400,56166786,H3H22_gp47,H3H22_gp47,Lys12581Vzw_59,-,-,-,eaa protein,protein-coding,-,-,-,eaa protein,20200728,-
2590400,56166787,H3H22_gp46,H3H22_gp46,Lys12581Vzw_60,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20200728,-
2590400,56166788,H3H22_gp45,H3H22_gp45,Lys12581Vzw_61,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210406,-
2590400,56166789,H3H22_gp44,H3H22_gp44,Lys12581Vzw_62,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200912,-
2590400,56166790,H3H22_gp43,H3H22_gp43,Lys12581Vzw_63,-,-,-,regulator,protein-coding,-,-,-,regulator,20200728,-
2590400,56166791,H3H22_gp42,H3H22_gp42,Lys12581Vzw_64,-,-,-,adenine methylase,protein-coding,-,-,-,adenine methylase,20200905,-
2590400,56166792,H3H22_gp41,H3H22_gp41,Lys12581Vzw_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166793,H3H22_gp40,H3H22_gp40,Lys12581Vzw_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166794,H3H22_gp39,H3H22_gp39,Lys12581Vzw_67,-,-,-,putative excisionase,protein-coding,-,-,-,putative excisionase,20210129,-
2590400,56166795,H3H22_gp38,H3H22_gp38,Lys12581Vzw_68,-,-,-,integrase protein,protein-coding,-,-,-,integrase protein,20210417,-
2590400,56166796,H3H22_gp37,H3H22_gp37,Lys12581Vzw_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2590400,56166797,H3H22_gp36,H3H22_gp36,Lys12581Vzw_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166798,H3H22_gp35,H3H22_gp35,Lys12581Vzw_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166799,H3H22_gp34,H3H22_gp34,Lys12581Vzw_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166800,H3H22_gp33,H3H22_gp33,Lys12581Vzw_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166801,H3H22_gp32,H3H22_gp32,Lys12581Vzw_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166802,H3H22_gp31,H3H22_gp31,Lys12581Vzw_75,-,-,-,Hok/Gef family protein,protein-coding,-,-,-,Hok/Gef family protein,20210327,-
2590400,56166803,H3H22_gp30,H3H22_gp30,Lys12581Vzw_76,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210406,-
2590400,56166804,H3H22_gp29,H3H22_gp29,Lys12581Vzw_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166805,H3H22_gp28,H3H22_gp28,Lys12581Vzw_78,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200728,-
2590400,56166806,H3H22_gp27,H3H22_gp27,Lys12581Vzw_79,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200912,-
2590400,56166807,H3H22_gp26,H3H22_gp26,Lys12581Vzw_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166808,H3H22_gp25,H3H22_gp25,Lys12581Vzw_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166809,H3H22_gp01,H3H22_gp01,Lys12581Vzw_01,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201003,-
2590400,56238775,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200729,-
