#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2565500,55013326,HOV38_gp02,HOV38_gp02,RP180_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
2565500,55013366,HOV38_gp42,HOV38_gp42,RP180_42,-,-,-,replicative helicase/primase,protein-coding,-,-,-,replicative helicase/primase,20210123,-
2565500,55013367,HOV38_gp43,HOV38_gp43,RP180_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013368,HOV38_gp44,HOV38_gp44,RP180_44,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201222,-
2565500,55013369,HOV38_gp45,HOV38_gp45,RP180_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013370,HOV38_gp46,HOV38_gp46,RP180_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013371,HOV38_gp47,HOV38_gp47,RP180_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013372,HOV38_gp48,HOV38_gp48,RP180_48,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20210123,-
2565500,55013373,HOV38_gp49,HOV38_gp49,RP180_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013374,HOV38_gp50,HOV38_gp50,RP180_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013375,HOV38_gp51,HOV38_gp51,RP180_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013376,HOV38_gp52,HOV38_gp52,RP180_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013377,HOV38_gp53,HOV38_gp53,RP180_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013378,HOV38_gp54,HOV38_gp54,RP180_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013379,HOV38_gp55,HOV38_gp55,RP180_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013380,HOV38_gp56,HOV38_gp56,RP180_56,-,-,-,class II holin-like protein,protein-coding,-,-,-,class II holin-like protein,20201222,-
2565500,55013381,HOV38_gp57,HOV38_gp57,RP180_57,-,-,-,class I holin-like protein,protein-coding,-,-,-,class I holin-like protein,20201222,-
2565500,55013382,HOV38_gp58,HOV38_gp58,RP180_58,-,-,-,lysozyme/endolysin,protein-coding,-,-,-,lysozyme/endolysin,20210123,-
2565500,55013383,HOV38_gp59,HOV38_gp59,RP180_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013384,HOV38_gp60,HOV38_gp60,RP180_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013385,HOV38_gp61,HOV38_gp61,RP180_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013386,HOV38_gp62,HOV38_gp62,RP180_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013387,HOV38_gp63,HOV38_gp63,RP180_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013388,HOV38_gp64,HOV38_gp64,RP180_64,-,-,-,NinH protein,protein-coding,-,-,-,NinH protein,20210123,-
2565500,55013389,HOV38_gp01,HOV38_gp01,RP180_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201222,-
2565500,55154387,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
