#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419752,55811056,HYP72_gp002,HYP72_gp002,SeSz1_2,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2419752,55811094,HYP72_gp040,HYP72_gp040,SeSz1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811095,HYP72_gp041,HYP72_gp041,SeSz1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419752,55811096,HYP72_gp042,HYP72_gp042,SeSz1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811097,HYP72_gp043,HYP72_gp043,SeSz1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811098,HYP72_gp044,HYP72_gp044,SeSz1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811099,HYP72_gp045,HYP72_gp045,SeSz1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2419752,55811100,HYP72_gp046,HYP72_gp046,SeSz1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811101,HYP72_gp047,HYP72_gp047,SeSz1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811102,HYP72_gp048,HYP72_gp048,SeSz1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2419752,55811103,HYP72_gp049,HYP72_gp049,SeSz1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2419752,55811104,HYP72_gp050,HYP72_gp050,SeSz1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811105,HYP72_gp051,HYP72_gp051,SeSz1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2419752,55811106,HYP72_gp052,HYP72_gp052,SeSz1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811107,HYP72_gp053,HYP72_gp053,SeSz1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811108,HYP72_gp054,HYP72_gp054,SeSz1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811109,HYP72_gp055,HYP72_gp055,SeSz1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811110,HYP72_gp056,HYP72_gp056,SeSz1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811111,HYP72_gp057,HYP72_gp057,SeSz1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811112,HYP72_gp058,HYP72_gp058,SeSz1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811113,HYP72_gp059,HYP72_gp059,SeSz1_59,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210424,-
2419752,55811114,HYP72_gp060,HYP72_gp060,SeSz1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811115,HYP72_gp061,HYP72_gp061,SeSz1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811116,HYP72_gp062,HYP72_gp062,SeSz1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811117,HYP72_gp063,HYP72_gp063,SeSz1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811118,HYP72_gp064,HYP72_gp064,SeSz1_64,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811119,HYP72_gp065,HYP72_gp065,SeSz1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811120,HYP72_gp066,HYP72_gp066,SeSz1_66,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20210424,-
2419752,55811121,HYP72_gp067,HYP72_gp067,SeSz1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811122,HYP72_gp068,HYP72_gp068,SeSz1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811123,HYP72_gp069,HYP72_gp069,SeSz1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811124,HYP72_gp070,HYP72_gp070,SeSz1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811125,HYP72_gp071,HYP72_gp071,SeSz1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2419752,55811126,HYP72_gp072,HYP72_gp072,SeSz1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811127,HYP72_gp073,HYP72_gp073,SeSz1_73,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20200910,-
2419752,55811128,HYP72_gp074,HYP72_gp074,SeSz1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811129,HYP72_gp075,HYP72_gp075,SeSz1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811130,HYP72_gp076,HYP72_gp076,SeSz1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811131,HYP72_gp077,HYP72_gp077,SeSz1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811132,HYP72_gp078,HYP72_gp078,SeSz1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811133,HYP72_gp079,HYP72_gp079,SeSz1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811134,HYP72_gp080,HYP72_gp080,SeSz1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811135,HYP72_gp081,HYP72_gp081,SeSz1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811136,HYP72_gp082,HYP72_gp082,SeSz1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811137,HYP72_gp083,HYP72_gp083,SeSz1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811138,HYP72_gp084,HYP72_gp084,SeSz1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811139,HYP72_gp085,HYP72_gp085,SeSz1_85,-,-,-,PhoH-like phosphate starvation-inducible protein,protein-coding,-,-,-,PhoH-like phosphate starvation-inducible protein,20210424,-
2419752,55811140,HYP72_gp086,HYP72_gp086,SeSz1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2419752,55811141,HYP72_gp087,HYP72_gp087,SeSz1_87,-,-,-,NrdB,protein-coding,-,-,-,NrdB,20210424,-
2419752,55811142,HYP72_gp088,HYP72_gp088,SeSz1_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811143,HYP72_gp089,HYP72_gp089,SeSz1_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811144,HYP72_gp090,HYP72_gp090,SeSz1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811145,HYP72_gp091,HYP72_gp091,SeSz1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811146,HYP72_gp092,HYP72_gp092,SeSz1_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811147,HYP72_gp093,HYP72_gp093,SeSz1_93,-,-,-,tail-associated lysozyme,protein-coding,-,-,-,tail-associated lysozyme,20210424,-
2419752,55811148,HYP72_gp094,HYP72_gp094,SeSz1_94,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210424,-
2419752,55811149,HYP72_gp095,HYP72_gp095,SeSz1_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811150,HYP72_gp096,HYP72_gp096,SeSz1_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811151,HYP72_gp097,HYP72_gp097,SeSz1_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811152,HYP72_gp098,HYP72_gp098,SeSz1_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811153,HYP72_gp099,HYP72_gp099,SeSz1_99,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210424,-
2419752,55811154,HYP72_gp100,HYP72_gp100,SeSz1_100,-,-,-,late promoter transcription factor,protein-coding,-,-,-,late promoter transcription factor,20200926,-
2419752,55811155,HYP72_gp101,HYP72_gp101,SeSz1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811156,HYP72_gp102,HYP72_gp102,SeSz1_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811157,HYP72_gp103,HYP72_gp103,SeSz1_103,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811158,HYP72_gp104,HYP72_gp104,SeSz1_104,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200926,-
2419752,55811159,HYP72_gp105,HYP72_gp105,SeSz1_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811160,HYP72_gp106,HYP72_gp106,SeSz1_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811161,HYP72_gp107,HYP72_gp107,SeSz1_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811162,HYP72_gp108,HYP72_gp108,SeSz1_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811163,HYP72_gp109,HYP72_gp109,SeSz1_109,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
2419752,55811164,HYP72_gp110,HYP72_gp110,SeSz1_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811165,HYP72_gp111,HYP72_gp111,SeSz1_111,-,-,-,dUTPase protein,protein-coding,-,-,-,dUTPase protein,20210424,-
2419752,55811166,HYP72_gp112,HYP72_gp112,SeSz1_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811167,HYP72_gp113,HYP72_gp113,SeSz1_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811168,HYP72_gp114,HYP72_gp114,SeSz1_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811169,HYP72_gp115,HYP72_gp115,SeSz1_115,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210403,-
2419752,55811170,HYP72_gp116,HYP72_gp116,SeSz1_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811171,HYP72_gp117,HYP72_gp117,SeSz1_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811172,HYP72_gp118,HYP72_gp118,SeSz1_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811173,HYP72_gp119,HYP72_gp119,SeSz1_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811174,HYP72_gp120,HYP72_gp120,SeSz1_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811175,HYP72_gp121,HYP72_gp121,SeSz1_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811176,HYP72_gp122,HYP72_gp122,SeSz1_122,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210424,-
2419752,55811177,HYP72_gp123,HYP72_gp123,SeSz1_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811178,HYP72_gp124,HYP72_gp124,SeSz1_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811179,HYP72_gp125,HYP72_gp125,SeSz1_125,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811180,HYP72_gp126,HYP72_gp126,SeSz1_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811181,HYP72_gp127,HYP72_gp127,SeSz1_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811182,HYP72_gp128,HYP72_gp128,SeSz1_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811183,HYP72_gp129,HYP72_gp129,SeSz1_129,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210424,-
2419752,55811184,HYP72_gp130,HYP72_gp130,SeSz1_130,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200926,-
2419752,55811185,HYP72_gp131,HYP72_gp131,SeSz1_131,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
2419752,55811186,HYP72_gp132,HYP72_gp132,SeSz1_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811187,HYP72_gp133,HYP72_gp133,SeSz1_133,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210424,-
2419752,55811188,HYP72_gp134,HYP72_gp134,SeSz1_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811189,HYP72_gp135,HYP72_gp135,SeSz1_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811190,HYP72_gp136,HYP72_gp136,SeSz1_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811191,HYP72_gp137,HYP72_gp137,SeSz1_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811192,HYP72_gp138,HYP72_gp138,SeSz1_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811193,HYP72_gp139,HYP72_gp139,SeSz1_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210427,-
2419752,55811194,HYP72_gp140,HYP72_gp140,SeSz1_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811195,HYP72_gp141,HYP72_gp141,SeSz1_141,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2419752,55811196,HYP72_gp142,HYP72_gp142,SeSz1_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811197,HYP72_gp143,HYP72_gp143,SeSz1_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811198,HYP72_gp144,HYP72_gp144,SeSz1_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811199,HYP72_gp145,HYP72_gp145,SeSz1_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811200,HYP72_gp146,HYP72_gp146,SeSz1_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811201,HYP72_gp147,HYP72_gp147,SeSz1_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811202,HYP72_gp148,HYP72_gp148,SeSz1_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811203,HYP72_gp149,HYP72_gp149,SeSz1_149,-,-,-,DNA topoisomerase medium subunit,protein-coding,-,-,-,DNA topoisomerase medium subunit,20210403,-
2419752,55811204,HYP72_gp150,HYP72_gp150,SeSz1_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2419752,55811205,HYP72_gp151,HYP72_gp151,SeSz1_151,-,-,-,DNA topoisomerase large subunit,protein-coding,-,-,-,DNA topoisomerase large subunit,20210424,-
2419752,55811206,HYP72_gp152,HYP72_gp152,SeSz1_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811207,HYP72_gp153,HYP72_gp153,SeSz1_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811208,HYP72_gp154,HYP72_gp154,SeSz1_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811209,HYP72_gp155,HYP72_gp155,SeSz1_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811210,HYP72_gp156,HYP72_gp156,SeSz1_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811211,HYP72_gp157,HYP72_gp157,SeSz1_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811212,HYP72_gp158,HYP72_gp158,SeSz1_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811213,HYP72_gp159,HYP72_gp159,SeSz1_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811214,HYP72_gp160,HYP72_gp160,SeSz1_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811215,HYP72_gp161,HYP72_gp161,SeSz1_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811216,HYP72_gp162,HYP72_gp162,SeSz1_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811217,HYP72_gp163,HYP72_gp163,SeSz1_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811218,HYP72_gp164,HYP72_gp164,SeSz1_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811219,HYP72_gp165,HYP72_gp165,SeSz1_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811220,HYP72_gp166,HYP72_gp166,SeSz1_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811221,HYP72_gp167,HYP72_gp167,SeSz1_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811222,HYP72_gp168,HYP72_gp168,SeSz1_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811223,HYP72_gp169,HYP72_gp169,SeSz1_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811224,HYP72_gp170,HYP72_gp170,SeSz1_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2419752,55811225,HYP72_gp171,HYP72_gp171,SeSz1_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811226,HYP72_gp172,HYP72_gp172,SeSz1_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811227,HYP72_gp173,HYP72_gp173,SeSz1_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811228,HYP72_gp174,HYP72_gp174,SeSz1_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811229,HYP72_gp175,HYP72_gp175,SeSz1_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811230,HYP72_gp176,HYP72_gp176,SeSz1_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811231,HYP72_gp177,HYP72_gp177,SeSz1_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811232,HYP72_gp178,HYP72_gp178,SeSz1_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811233,HYP72_gp179,HYP72_gp179,SeSz1_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811234,HYP72_gp180,HYP72_gp180,SeSz1_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2419752,55811235,HYP72_gp181,HYP72_gp181,SeSz1_181,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811236,HYP72_gp182,HYP72_gp182,SeSz1_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811237,HYP72_gp183,HYP72_gp183,SeSz1_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811238,HYP72_gp184,HYP72_gp184,SeSz1_184,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
2419752,55811239,HYP72_gp185,HYP72_gp185,SeSz1_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811240,HYP72_gp186,HYP72_gp186,SeSz1_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
