#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223262,14515787,H388_gp02,H388_gp02,JBD88a_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1223262,14515799,H388_gp14,H388_gp14,JBD88a_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515800,H388_gp15,H388_gp15,JBD88a_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515801,H388_gp16,H388_gp16,JBD88a_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515802,H388_gp17,H388_gp17,JBD88a_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515803,H388_gp18,H388_gp18,JBD88a_018,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210424,-
1223262,14515804,H388_gp19,H388_gp19,JBD88a_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515805,H388_gp20,H388_gp20,JBD88a_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515806,H388_gp21,H388_gp21,JBD88a_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515807,H388_gp22,H388_gp22,JBD88a_022,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1223262,14515808,H388_gp23,H388_gp23,JBD88a_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515809,H388_gp24,H388_gp24,JBD88a_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515810,H388_gp25,H388_gp25,JBD88a_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515811,H388_gp26,H388_gp26,JBD88a_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515812,H388_gp27,H388_gp27,JBD88a_027,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20201221,-
1223262,14515813,H388_gp28,H388_gp28,JBD88a_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515814,H388_gp29,H388_gp29,JBD88a_029,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1223262,14515815,H388_gp30,H388_gp30,JBD88a_030,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1223262,14515816,H388_gp31,H388_gp31,JBD88a_031,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210129,-
1223262,14515817,H388_gp32,H388_gp32,JBD88a_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1223262,14515818,H388_gp33,H388_gp33,JBD88a_033,-,-,-,anti-CRISPR protein AcrF3,protein-coding,-,-,-,anti-CRISPR protein AcrF3,20201221,-
1223262,14515819,H388_gp34,H388_gp34,JBD88a_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515820,H388_gp35,H388_gp35,JBD88a_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515821,H388_gp36,H388_gp36,JBD88a_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515822,H388_gp37,H388_gp37,JBD88a_037,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20201221,-
1223262,14515823,H388_gp38,H388_gp38,JBD88a_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515824,H388_gp39,H388_gp39,JBD88a_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515825,H388_gp40,H388_gp40,JBD88a_040,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210424,-
1223262,14515826,H388_gp41,H388_gp41,JBD88a_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515827,H388_gp42,H388_gp42,JBD88a_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515828,H388_gp43,H388_gp43,JBD88a_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515829,H388_gp44,H388_gp44,JBD88a_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515830,H388_gp45,H388_gp45,JBD88a_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515831,H388_gp46,H388_gp46,JBD88a_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515832,H388_gp47,H388_gp47,JBD88a_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515833,H388_gp48,H388_gp48,JBD88a_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515834,H388_gp49,H388_gp49,JBD88a_049,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1223262,14515835,H388_gp50,H388_gp50,JBD88a_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515836,H388_gp51,H388_gp51,JBD88a_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515837,H388_gp52,H388_gp52,JBD88a_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515838,H388_gp53,H388_gp53,JBD88a_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515839,H388_gp54,H388_gp54,JBD88a_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515840,H388_gp55,H388_gp55,JBD88a_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515841,H388_gp01,H388_gp01,JBD88a_001,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1223262,14564102,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
