#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500149,62682131,JT346_gp02,JT346_gp02,AP13_002,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210424,-
2500149,62682183,JT346_gp54,JT346_gp54,AP13_054,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210424,-
2500149,62682184,JT346_gp55,JT346_gp55,AP13_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682185,JT346_gp56,JT346_gp56,AP13_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682186,JT346_gp57,JT346_gp57,AP13_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682187,JT346_gp58,JT346_gp58,AP13_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682188,JT346_gp59,JT346_gp59,AP13_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682189,JT346_gp60,JT346_gp60,AP13_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500149,62682190,JT346_gp61,JT346_gp61,AP13_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682191,JT346_gp62,JT346_gp62,AP13_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682192,JT346_gp63,JT346_gp63,AP13_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682193,JT346_gp64,JT346_gp64,AP13_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682194,JT346_gp65,JT346_gp65,AP13_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682195,JT346_gp66,JT346_gp66,AP13_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682196,JT346_gp67,JT346_gp67,AP13_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682197,JT346_gp68,JT346_gp68,AP13_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682198,JT346_gp69,JT346_gp69,AP13_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682199,JT346_gp70,JT346_gp70,AP13_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682200,JT346_gp71,JT346_gp71,AP13_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682201,JT346_gp72,JT346_gp72,AP13_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682202,JT346_gp73,JT346_gp73,AP13_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682203,JT346_gp74,JT346_gp74,AP13_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682204,JT346_gp75,JT346_gp75,AP13_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682205,JT346_gp76,JT346_gp76,AP13_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682206,JT346_gp77,JT346_gp77,AP13_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682207,JT346_gp01,JT346_gp01,AP13_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2500149,62714211,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage AP13; Salmonella phage H13).,other,-,-,-,-,20210217,-
