#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053813,55606368,HWB41_gp60,HWB41_gp60,SEA_IMMANUEL3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606369,HWB41_gp59,HWB41_gp59,SEA_IMMANUEL3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606370,HWB41_gp58,HWB41_gp58,SEA_IMMANUEL3_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2053813,55606371,HWB41_gp57,HWB41_gp57,SEA_IMMANUEL3_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606372,HWB41_gp56,HWB41_gp56,SEA_IMMANUEL3_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606373,HWB41_gp55,HWB41_gp55,SEA_IMMANUEL3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606374,HWB41_gp54,HWB41_gp54,SEA_IMMANUEL3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606375,HWB41_gp53,HWB41_gp53,SEA_IMMANUEL3_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606376,HWB41_gp52,HWB41_gp52,SEA_IMMANUEL3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606377,HWB41_gp51,HWB41_gp51,SEA_IMMANUEL3_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2053813,55606378,HWB41_gp50,HWB41_gp50,SEA_IMMANUEL3_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2053813,55606379,HWB41_gp49,HWB41_gp49,SEA_IMMANUEL3_49,-,-,-,holin,protein-coding,-,-,-,holin,20200620,-
2053813,55606380,HWB41_gp48,HWB41_gp48,SEA_IMMANUEL3_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606381,HWB41_gp47,HWB41_gp47,SEA_IMMANUEL3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606382,HWB41_gp46,HWB41_gp46,SEA_IMMANUEL3_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606383,HWB41_gp45,HWB41_gp45,SEA_IMMANUEL3_53,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210424,-
2053813,55606384,HWB41_gp44,HWB41_gp44,SEA_IMMANUEL3_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606385,HWB41_gp43,HWB41_gp43,SEA_IMMANUEL3_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606386,HWB41_gp42,HWB41_gp42,SEA_IMMANUEL3_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053813,55606387,HWB41_gp41,HWB41_gp41,SEA_IMMANUEL3_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2053813,55606388,HWB41_gp38,HWB41_gp38,SEA_IMMANUEL3_60,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200620,-
