#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838063,28800774,2,BH770_gp02,BOWSER_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1838063,28800791,19,BH770_gp19,BOWSER_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838063,28800792,20,BH770_gp20,BOWSER_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800793,21,BH770_gp21,BOWSER_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1838063,28800794,22,BH770_gp22,BOWSER_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200927,-
1838063,28800795,23,BH770_gp23,BOWSER_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800796,24,BH770_gp24,BOWSER_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800797,25,BH770_gp25,BOWSER_25,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1838063,28800798,26,BH770_gp26,BOWSER_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1838063,28800799,27,BH770_gp27,BOWSER_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1838063,28800800,28,BH770_gp28,BOWSER_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800801,29,BH770_gp29,BOWSER_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800802,30,BH770_gp30,BOWSER_30,-,-,-,lipase,protein-coding,-,-,-,lipase,20200927,-
1838063,28800803,31,BH770_gp31,BOWSER_31,-,-,-,lipase,protein-coding,-,-,-,lipase,20200927,-
1838063,28800804,32,BH770_gp32,BOWSER_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800805,33,BH770_gp33,BOWSER_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800806,34,BH770_gp34,BOWSER_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800807,35,BH770_gp35,BOWSER_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800808,36,BH770_gp36,BOWSER_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800809,37,BH770_gp37,BOWSER_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1838063,28800810,38,BH770_gp38,BOWSER_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800811,39,BH770_gp39,BOWSER_39,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1838063,28800812,40,BH770_gp40,BOWSER_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1838063,28800813,41,BH770_gp41,BOWSER_41,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1838063,28800814,42,BH770_gp42,BOWSER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800815,43,BH770_gp43,BOWSER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800816,44,BH770_gp44,BOWSER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800817,45,BH770_gp45,BOWSER_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800818,46,BH770_gp46,BOWSER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800819,47,BH770_gp47,BOWSER_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800820,48,BH770_gp48,BOWSER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800821,49,BH770_gp49,BOWSER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800822,50,BH770_gp50,BOWSER_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800823,51,BH770_gp51,BOWSER_51,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20200927,-
1838063,28800824,52,BH770_gp52,BOWSER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800825,53,BH770_gp53,BOWSER_53,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20200927,-
1838063,28800826,54,BH770_gp54,BOWSER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800827,55,BH770_gp55,BOWSER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800828,56,BH770_gp56,BOWSER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800829,57,BH770_gp57,BOWSER_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800830,58,BH770_gp58,BOWSER_58,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200927,-
1838063,28800831,59,BH770_gp59,BOWSER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800832,60,BH770_gp60,BOWSER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800833,61,BH770_gp61,BOWSER_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1838063,28800834,62,BH770_gp62,BOWSER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800835,63,BH770_gp63,BOWSER_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800836,64,BH770_gp64,BOWSER_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800837,65,BH770_gp65,BOWSER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800838,66,BH770_gp66,BOWSER_66,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200927,-
1838063,28800839,67,BH770_gp67,BOWSER_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1838063,28800840,1,BH770_gp01,BOWSER_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1838063,29122366,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
