#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500581,65118390,KNU36_gp002,KNU36_gp002,SBP1_gp002,-,-,-,phosphatase,protein-coding,-,-,-,phosphatase,20210607,-
2500581,65118417,KNU36_gp104,KNU36_gp104,SBP1_gp025,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210607,-
2500581,65118418,KNU36_gp103,KNU36_gp103,SBP1_gp026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118419,KNU36_gp102,KNU36_gp102,SBP1_gp027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118420,KNU36_gp101,KNU36_gp101,SBP1_gp028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118421,KNU36_gp100,KNU36_gp100,SBP1_gp029,-,-,-,MoxR-like ATPase protein,protein-coding,-,-,-,MoxR-like ATPase protein,20210607,-
2500581,65118422,KNU36_gp099,KNU36_gp099,SBP1_gp030,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2500581,65118423,KNU36_gp098,KNU36_gp098,SBP1_gp031,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20210607,-
2500581,65118424,KNU36_gp097,KNU36_gp097,SBP1_gp032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118425,KNU36_gp096,KNU36_gp096,SBP1_gp033,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2500581,65118426,KNU36_gp095,KNU36_gp095,SBP1_gp034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118427,KNU36_gp094,KNU36_gp094,SBP1_gp035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118428,KNU36_gp093,KNU36_gp093,SBP1_gp036,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2500581,65118429,KNU36_gp092,KNU36_gp092,SBP1_gp037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118430,KNU36_gp091,KNU36_gp091,SBP1_gp038,-,-,-,putative PD-(D/E)XK nuclease superfamily protein,protein-coding,-,-,-,putative PD-(D/E)XK nuclease superfamily protein,20210607,-
2500581,65118431,KNU36_gp090,KNU36_gp090,SBP1_gp039,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2500581,65118432,KNU36_gp089,KNU36_gp089,SBP1_gp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118433,KNU36_gp088,KNU36_gp088,SBP1_gp041,-,-,-,AAA domain protein,protein-coding,-,-,-,AAA domain protein,20210607,-
2500581,65118434,KNU36_gp087,KNU36_gp087,SBP1_gp042,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2500581,65118435,KNU36_gp086,KNU36_gp086,SBP1_gp043,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210607,-
2500581,65118436,KNU36_gp085,KNU36_gp085,SBP1_gp044,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210607,-
2500581,65118437,KNU36_gp084,KNU36_gp084,SBP1_gp045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118438,KNU36_gp083,KNU36_gp083,SBP1_gp046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118439,KNU36_gp082,KNU36_gp082,SBP1_gp047,-,-,-,virion RNA polymerase,protein-coding,-,-,-,virion RNA polymerase,20210607,-
2500581,65118440,KNU36_gp081,KNU36_gp081,SBP1_gp048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118441,KNU36_gp080,KNU36_gp080,SBP1_gp049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118442,KNU36_gp079,KNU36_gp079,SBP1_gp050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118443,KNU36_gp078,KNU36_gp078,SBP1_gp051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118444,KNU36_gp077,KNU36_gp077,SBP1_gp052,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20210607,-
2500581,65118445,KNU36_gp076,KNU36_gp076,SBP1_gp053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118446,KNU36_gp075,KNU36_gp075,SBP1_gp054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118447,KNU36_gp074,KNU36_gp074,SBP1_gp055,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2500581,65118448,KNU36_gp073,KNU36_gp073,SBP1_gp056,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2500581,65118449,KNU36_gp072,KNU36_gp072,SBP1_gp057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118450,KNU36_gp071,KNU36_gp071,SBP1_gp058,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2500581,65118451,KNU36_gp070,KNU36_gp070,SBP1_gp059,-,-,-,M15 family peptidase,protein-coding,-,-,-,M15 family peptidase,20210607,-
2500581,65118452,KNU36_gp069,KNU36_gp069,SBP1_gp060,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210607,-
2500581,65118453,KNU36_gp068,KNU36_gp068,SBP1_gp061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118454,KNU36_gp067,KNU36_gp067,SBP1_gp062,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20210607,-
2500581,65118455,KNU36_gp066,KNU36_gp066,SBP1_gp063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118456,KNU36_gp065,KNU36_gp065,SBP1_gp064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118457,KNU36_gp064,KNU36_gp064,SBP1_gp065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118458,KNU36_gp063,KNU36_gp063,SBP1_gp066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118459,KNU36_gp062,KNU36_gp062,SBP1_gp067,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2500581,65118460,KNU36_gp061,KNU36_gp061,SBP1_gp068,-,-,-,head completion adaptor,protein-coding,-,-,-,head completion adaptor,20210607,-
2500581,65118461,KNU36_gp060,KNU36_gp060,SBP1_gp069,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2500581,65118462,KNU36_gp059,KNU36_gp059,SBP1_gp070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118463,KNU36_gp058,KNU36_gp058,SBP1_gp071,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210607,-
2500581,65118464,KNU36_gp057,KNU36_gp057,SBP1_gp072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118465,KNU36_gp056,KNU36_gp056,SBP1_gp073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118466,KNU36_gp055,KNU36_gp055,SBP1_gp074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118467,KNU36_gp054,KNU36_gp054,SBP1_gp075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118468,KNU36_gp053,KNU36_gp053,SBP1_gp076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118469,KNU36_gp052,KNU36_gp052,SBP1_gp077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118470,KNU36_gp051,KNU36_gp051,SBP1_gp078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118471,KNU36_gp050,KNU36_gp050,SBP1_gp079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118472,KNU36_gp049,KNU36_gp049,SBP1_gp080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118473,KNU36_gp048,KNU36_gp048,SBP1_gp081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118474,KNU36_gp047,KNU36_gp047,SBP1_gp082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118475,KNU36_gp046,KNU36_gp046,SBP1_gp083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118476,KNU36_gp045,KNU36_gp045,SBP1_gp084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118477,KNU36_gp044,KNU36_gp044,SBP1_gp085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118478,KNU36_gp043,KNU36_gp043,SBP1_gp086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118479,KNU36_gp042,KNU36_gp042,SBP1_gp087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118480,KNU36_gp041,KNU36_gp041,SBP1_gp088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118481,KNU36_gp040,KNU36_gp040,SBP1_gp089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118482,KNU36_gp039,KNU36_gp039,SBP1_gp090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118483,KNU36_gp038,KNU36_gp038,SBP1_gp091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118484,KNU36_gp037,KNU36_gp037,SBP1_gp092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118485,KNU36_gp036,KNU36_gp036,SBP1_gp093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118486,KNU36_gp035,KNU36_gp035,SBP1_gp094,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20210607,-
2500581,65118487,KNU36_gp034,KNU36_gp034,SBP1_gp095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118488,KNU36_gp033,KNU36_gp033,SBP1_gp096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118489,KNU36_gp032,KNU36_gp032,SBP1_gp097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118490,KNU36_gp031,KNU36_gp031,SBP1_gp098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118491,KNU36_gp030,KNU36_gp030,SBP1_gp099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118492,KNU36_gp029,KNU36_gp029,SBP1_gp100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118493,KNU36_gp028,KNU36_gp028,SBP1_gp101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118494,KNU36_gp027,KNU36_gp027,SBP1_gp102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118495,KNU36_gp026,KNU36_gp026,SBP1_gp103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118496,KNU36_gp025,KNU36_gp025,SBP1_gp104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118497,KNU36_gp024,KNU36_gp024,SBP1_gp105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118498,KNU36_gp023,KNU36_gp023,SBP1_gp106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118499,KNU36_gp022,KNU36_gp022,SBP1_gp107,-,-,-,RNase H,protein-coding,-,-,-,RNase H,20210607,-
2500581,65118500,KNU36_gp021,KNU36_gp021,SBP1_gp108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118501,KNU36_gp020,KNU36_gp020,SBP1_gp109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118502,KNU36_gp019,KNU36_gp019,SBP1_gp110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118503,KNU36_gp018,KNU36_gp018,SBP1_gp111,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210607,-
2500581,65118504,KNU36_gp017,KNU36_gp017,SBP1_gp112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118505,KNU36_gp001,KNU36_gp001,SBP1_gp001,-,-,-,RNAP2-like protein,protein-coding,-,-,-,RNAP2-like protein,20210607,-
2500581,65243006,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
