#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391190,20283540,LA67_gp02,LA67_gp02,MP48_002,-,-,-,Ner-like protein,protein-coding,-,-,-,Ner-like protein,20200912,-
1391190,20283578,LA67_gp41,LA67_gp41,MP48_0045e,-,-,-,putative tail component protein,protein-coding,-,-,-,putative tail component protein,20200629,-
1391190,20283579,LA67_gp40,LA67_gp40,MP48_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283580,LA67_gp42,LA67_gp42,MP48_0046e,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283581,LA67_gp43,LA67_gp43,MP48_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283582,LA67_gp44,LA67_gp44,MP48_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283583,LA67_gp45,LA67_gp45,MP48_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283584,LA67_gp46,LA67_gp46,MP48_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283585,LA67_gp47,LA67_gp47,MP48_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283586,LA67_gp48,LA67_gp48,MP48_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283587,LA67_gp49,LA67_gp49,MP48_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283588,LA67_gp50,LA67_gp50,MP48_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283589,LA67_gp01,LA67_gp01,MP48_001,-,-,-,c repressor,protein-coding,-,-,-,c repressor,20200629,-
1391190,20340411,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
