#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235654,16835233,P752_gp02,P752_gp02,PHL112N00_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235654,16835261,P752_gp30,P752_gp30,PHL112N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235654,16835262,P752_gp31,P752_gp31,PHL112N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235654,16835263,P752_gp32,P752_gp32,PHL112N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835264,P752_gp33,P752_gp33,PHL112N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1235654,16835265,P752_gp34,P752_gp34,PHL112N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835266,P752_gp35,P752_gp35,PHL112N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835267,P752_gp36,P752_gp36,PHL112N00_36,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235654,16835268,P752_gp37,P752_gp37,PHL112N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835269,P752_gp38,P752_gp38,PHL112N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835270,P752_gp39,P752_gp39,PHL112N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835271,P752_gp40,P752_gp40,PHL112N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835272,P752_gp41,P752_gp41,PHL112N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835273,P752_gp42,P752_gp42,PHL112N00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835274,P752_gp43,P752_gp43,PHL112N00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835275,P752_gp44,P752_gp44,PHL112N00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835276,P752_gp45,P752_gp45,PHL112N00_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835277,P752_gp46,P752_gp46,PHL112N00_46,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1235654,16835278,P752_gp01,P752_gp01,PHL112N00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1235654,16976859,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
