#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656515,56132771,H1N72_gp02,H1N72_gp02,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200829,-
2656515,56132793,H1N72_gp24,H1N72_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132794,H1N72_gp25,H1N72_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132795,H1N72_gp26,H1N72_gp26,-,-,-,-,PE-PGRS virulence associated protein,protein-coding,-,-,-,PE-PGRS virulence associated protein,20200724,-
2656515,56132796,H1N72_gp27,H1N72_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132797,H1N72_gp28,H1N72_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132798,H1N72_gp29,H1N72_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132799,H1N72_gp30,H1N72_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132800,H1N72_gp31,H1N72_gp31,-,-,-,-,cysteine synthase,protein-coding,-,-,-,cysteine synthase,20200829,-
2656515,56132801,H1N72_gp32,H1N72_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132802,H1N72_gp33,H1N72_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132803,H1N72_gp34,H1N72_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132804,H1N72_gp35,H1N72_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132805,H1N72_gp36,H1N72_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132806,H1N72_gp37,H1N72_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132807,H1N72_gp38,H1N72_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132808,H1N72_gp39,H1N72_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132809,H1N72_gp40,H1N72_gp40,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200724,-
2656515,56132810,H1N72_gp41,H1N72_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132811,H1N72_gp42,H1N72_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132812,H1N72_gp43,H1N72_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132813,H1N72_gp44,H1N72_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132814,H1N72_gp45,H1N72_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132815,H1N72_gp46,H1N72_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656515,56132816,H1N72_gp47,H1N72_gp47,-,-,-,-,ParB-like nuclease domain containing protein,protein-coding,-,-,-,ParB-like nuclease domain containing protein,20210424,-
2656515,56132817,H1N72_gp48,H1N72_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132818,H1N72_gp49,H1N72_gp49,-,-,-,-,type I secretion C-terminal target domain protein,protein-coding,-,-,-,type I secretion C-terminal target domain protein,20200724,-
2656515,56132819,H1N72_gp50,H1N72_gp50,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
2656515,56132820,H1N72_gp51,H1N72_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132821,H1N72_gp52,H1N72_gp52,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2656515,56132822,H1N72_gp53,H1N72_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132823,H1N72_gp54,H1N72_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132824,H1N72_gp55,H1N72_gp55,-,-,-,-,Clp protease-like protein,protein-coding,-,-,-,Clp protease-like protein,20210424,-
2656515,56132825,H1N72_gp56,H1N72_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132826,H1N72_gp57,H1N72_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132827,H1N72_gp58,H1N72_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132828,H1N72_gp59,H1N72_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132829,H1N72_gp60,H1N72_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132830,H1N72_gp61,H1N72_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132831,H1N72_gp62,H1N72_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132832,H1N72_gp63,H1N72_gp63,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
2656515,56132833,H1N72_gp64,H1N72_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132834,H1N72_gp65,H1N72_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132835,H1N72_gp66,H1N72_gp66,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210424,-
2656515,56132836,H1N72_gp67,H1N72_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132837,H1N72_gp68,H1N72_gp68,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200724,-
2656515,56132838,H1N72_gp69,H1N72_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656515,56132839,H1N72_gp70,H1N72_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132840,H1N72_gp71,H1N72_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132841,H1N72_gp72,H1N72_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132842,H1N72_gp73,H1N72_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132843,H1N72_gp74,H1N72_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132844,H1N72_gp75,H1N72_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656515,56132845,H1N72_gp76,H1N72_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132846,H1N72_gp77,H1N72_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132847,H1N72_gp78,H1N72_gp78,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200829,-
2656515,56132848,H1N72_gp79,H1N72_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132849,H1N72_gp80,H1N72_gp80,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200724,-
2656515,56132850,H1N72_gp81,H1N72_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132851,H1N72_gp01,H1N72_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56166673,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
