#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034111,40233816,159,FGG27_gp159,LITTLEE_159,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20200909,-
1034111,40233817,160,FGG27_gp160,LITTLEE_160,-,-,-,DnaQ,protein-coding,-,-,-,DnaQ,20200909,-
1034111,40233818,161,FGG27_gp161,LITTLEE_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233819,162,FGG27_gp162,LITTLEE_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233820,163,FGG27_gp163,LITTLEE_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233821,164,FGG27_gp164,LITTLEE_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233822,165,FGG27_gp165,LITTLEE_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233823,166,FGG27_gp166,LITTLEE_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233824,167,FGG27_gp167,LITTLEE_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233825,168,FGG27_gp168,LITTLEE_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233826,169,FGG27_gp169,LITTLEE_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233827,170,FGG27_gp170,LITTLEE_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233828,171,FGG27_gp171,LITTLEE_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233829,172,FGG27_gp172,LITTLEE_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233830,173,FGG27_gp173,LITTLEE_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233831,174,FGG27_gp174,LITTLEE_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233832,175,FGG27_gp175,LITTLEE_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233833,176,FGG27_gp176,LITTLEE_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233834,177,FGG27_gp177,LITTLEE_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233835,178,FGG27_gp178,LITTLEE_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233836,179,FGG27_gp179,LITTLEE_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233837,180,FGG27_gp180,LITTLEE_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233838,181,FGG27_gp181,LITTLEE_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233839,182,FGG27_gp182,LITTLEE_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233840,183,FGG27_gp183,LITTLEE_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233841,184,FGG27_gp184,LITTLEE_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233842,185,FGG27_gp185,LITTLEE_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233843,186,FGG27_gp186,LITTLEE_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233844,187,FGG27_gp187,LITTLEE_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233845,188,FGG27_gp188,LITTLEE_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233846,189,FGG27_gp189,LITTLEE_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233847,190,FGG27_gt001,LITTLEE_190,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
