#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1273754,16194551,24,M193_gp024,HRTV7_24,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200909,-
1273754,16194598,100,M193_gp074,HRTV7_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194599,83,M193_gp091,HRTV7_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194600,17,M193_gp017,HRTV7_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194601,22,M193_gp022,HRTV7_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194602,1,M193_gp001,HRTV7_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194603,51,M193_gp051,HRTV7_51,-,-,-,PD-(D/E)XK nuclease,protein-coding,-,-,-,PD-(D/E)XK nuclease,20200909,-
1273754,16194604,98,M193_gp076,HRTV7_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194605,106,M193_gp068,HRTV7_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194606,46,M193_gp046,HRTV7_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194607,15,M193_gp015,HRTV7_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194608,105,M193_gp069,HRTV7_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194609,56,M193_gp056,HRTV7_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194610,53,M193_gp053,HRTV7_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194611,5,M193_gp005,HRTV7_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194612,2,M193_gp002,HRTV7_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194613,80,M193_gp094,HRTV7_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194614,31,M193_gp031,HRTV7_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194615,64,M193_gp064,HRTV7_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194616,3,M193_gp003,HRTV7_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194617,57,M193_gp057,HRTV7_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194618,96,M193_gp078,HRTV7_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194619,91,M193_gp083,HRTV7_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194620,94,M193_gp080,HRTV7_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194621,75,M193_gp099,HRTV7_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194622,10,M193_gp010,HRTV7_10,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200909,-
1273754,16194623,74,M193_gp100,HRTV7_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194624,93,M193_gp081,HRTV7_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194625,45,M193_gp045,HRTV7_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194626,60,M193_gp060,HRTV7_60,-,-,-,DNA polymerase II small subunit,protein-coding,-,-,-,DNA polymerase II small subunit,20200909,-
1273754,16194627,79,M193_gp095,HRTV7_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194628,54,M193_gp054,HRTV7_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194629,55,M193_gp055,HRTV7_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194630,21,M193_gp021,HRTV7_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194631,6,M193_gp006,HRTV7_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194632,36,M193_gp036,HRTV7_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194633,88,M193_gp086,HRTV7_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194634,68,M193_gt001,HRTV7_68,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1273754,16194635,61,M193_gp061,HRTV7_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194636,29,M193_gp029,HRTV7_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194637,85,M193_gp089,HRTV7_85,-,-,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200909,-
1273754,16194638,65,M193_gp065,HRTV7_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194639,77,M193_gp097,HRTV7_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194640,62,M193_gp062,HRTV7_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194641,44,M193_gp044,HRTV7_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194642,42,M193_gp042,HRTV7_42,-,-,-,DNA polymerase elongation subunit (family B),protein-coding,-,-,-,DNA polymerase elongation subunit (family B),20200909,-
1273754,16194643,59,M193_gp059,HRTV7_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194644,49,M193_gp049,HRTV7_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194645,11,M193_gp011,HRTV7_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194646,8,M193_gp008,HRTV7_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
1273754,16194647,67,M193_gp067,HRTV7_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194648,13,M193_gp013,HRTV7_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
1273754,16194649,39,M193_gp039,HRTV7_39,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200909,-
1273754,16194650,19,M193_gp019,HRTV7_19,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20200909,-
1273754,16194651,14,M193_gp014,HRTV7_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194652,12,M193_gp012,HRTV7_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194653,63,M193_gp063,HRTV7_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194654,30,M193_gp030,HRTV7_30,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20200909,-
1273754,16194655,9,M193_gp009,HRTV7_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194656,69,M193_gp105,HRTV7_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16216250,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
