#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654884,26775495,SP21_2,SP21_2,-,-,-,-,single strand binding protein,protein-coding,-,-,-,single strand binding protein,20201221,-
1654884,26775509,SP21_16,SP21_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775510,SP21_17,SP21_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775511,SP21_18,SP21_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775512,SP21_19,SP21_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775513,SP21_20,SP21_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775514,SP21_21,SP21_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775515,SP21_22,SP21_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775516,SP21_23,SP21_23,-,-,-,-,endonuclease I,protein-coding,-,-,-,endonuclease I,20201221,-
1654884,26775517,SP21_24,SP21_24,-,-,-,-,putative viral baseplate protein,protein-coding,-,-,-,putative viral baseplate protein,20201221,-
1654884,26775518,SP21_25,SP21_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775519,SP21_26,SP21_26,-,-,-,-,Rha family regulatory protein,protein-coding,-,-,-,Rha family regulatory protein,20201221,-
1654884,26775520,SP21_27,SP21_27,-,-,-,-,head fiber protein,protein-coding,-,-,-,head fiber protein,20201221,-
1654884,26775521,SP21_28,SP21_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775522,SP21_29,SP21_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775523,SP21_30,SP21_30,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201221,-
1654884,26775524,SP21_31,SP21_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775525,SP21_32,SP21_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775526,SP21_33,SP21_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775527,SP21_34,SP21_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775528,SP21_35,SP21_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775529,SP21_36,SP21_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775530,SP21_37,SP21_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775531,SP21_38,SP21_38,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1654884,26775532,SP21_39,SP21_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775533,SP21_40,SP21_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775534,SP21_41,SP21_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775535,SP21_42,SP21_42,-,-,-,-,putative Cro/Cl-type repressor,protein-coding,-,-,-,putative Cro/Cl-type repressor,20201221,-
1654884,26775536,SP21_43,SP21_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775537,SP21_44,SP21_44,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20201221,-
1654884,26775538,SP21_45,SP21_45,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1654884,26775539,SP21_46,SP21_46,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1654884,26775540,SP21_47,SP21_47,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20201221,-
1654884,26775541,SP21_48,SP21_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775542,SP21_49,SP21_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775543,SP21_50,SP21_50,-,-,-,-,putative Cro/Cl-type repressor,protein-coding,-,-,-,putative Cro/Cl-type repressor,20201221,-
1654884,26775544,SP21_51,SP21_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775545,SP21_52,SP21_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775546,SP21_53,SP21_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775547,SP21_54,SP21_54,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1654884,26775548,SP21_55,SP21_55,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1654884,26775549,SP21_56,SP21_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775550,SP21_57,SP21_57,-,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20201221,-
1654884,26775551,SP21_58,SP21_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775552,SP21_59,SP21_59,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1654884,26775553,SP21_60,SP21_60,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654884,26775554,SP21_61,SP21_61,-,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20201221,-
1654884,26775555,SP21_62,SP21_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775556,SP21_63,SP21_63,-,-,-,-,PotC,protein-coding,-,-,-,PotC,20201221,-
1654884,26775557,SP21_64,SP21_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775558,SP21_65,SP21_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775559,SP21_66,SP21_66,-,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20201221,-
1654884,26775560,SP21_67,SP21_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775561,SP21_68,SP21_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775562,SP21_69,SP21_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775563,SP21_70,SP21_70,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1654884,26775564,SP21_71,SP21_71,-,-,-,-,putative Clp protease protein,protein-coding,-,-,-,putative Clp protease protein,20201221,-
1654884,26775565,SP21_72,SP21_72,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1654884,26775566,SP21_73,SP21_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775567,SP21_74,SP21_74,-,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20201221,-
1654884,26775568,SP21_75,SP21_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775569,SP21_76,SP21_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775570,SP21_77,SP21_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775571,SP21_78,SP21_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775572,SP21_79,SP21_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775573,SP21_80,SP21_80,-,-,-,-,protector from prophage-induced early lysis,protein-coding,-,-,-,protector from prophage-induced early lysis,20201221,-
1654884,26775574,SP21_81,SP21_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775575,SP21_82,SP21_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775576,SP21_83,SP21_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775577,SP21_84,SP21_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775578,SP21_85,SP21_85,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
1654884,26775579,SP21_86,SP21_86,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1654884,26775580,SP21_87,SP21_87,-,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20201221,-
1654884,26775581,SP21_88,SP21_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775582,SP21_89,SP21_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775583,SP21_90,SP21_90,-,-,-,-,abortive infection bacterioresistance protein,protein-coding,-,-,-,abortive infection bacterioresistance protein,20201221,-
1654884,26775584,SP21_91,SP21_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775585,SP21_92,SP21_92,-,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20201221,-
1654884,26775586,SP21_93,SP21_93,-,-,-,-,putative tail fiber component J,protein-coding,-,-,-,putative tail fiber component J,20201221,-
1654884,26775587,SP21_94,SP21_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775588,SP21_95,SP21_95,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
1654884,26775589,SP21_96,SP21_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775590,SP21_97,SP21_97,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1654884,26775591,SP21_98,SP21_98,-,-,-,-,Frd3,protein-coding,-,-,-,Frd3,20201221,-
1654884,26775592,SP21_99,SP21_99,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20201221,-
1654884,26775593,SP21_100,SP21_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775594,SP21_101,SP21_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775595,SP21_102,SP21_102,-,-,-,-,methylase,protein-coding,-,-,-,methylase,20201221,-
1654884,26775596,SP21_103,SP21_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775597,SP21_104,SP21_104,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1654884,26775598,SP21_1,SP21_1,-,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20201221,-
1654884,26799419,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella bacteriophage 21).,other,-,-,-,-,20200513,-
