#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1958913,55602136,HWB10_gp02,HWB10_gp02,BSPM4_0002,-,-,-,primase,protein-coding,-,-,-,primase,20210424,-
1958913,55602158,HWB10_gp24,HWB10_gp24,BSPM4_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602159,HWB10_gp25,HWB10_gp25,BSPM4_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958913,55602160,HWB10_gp26,HWB10_gp26,BSPM4_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602161,HWB10_gp27,HWB10_gp27,BSPM4_0027,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1958913,55602162,HWB10_gp28,HWB10_gp28,BSPM4_0028,-,-,-,putative assembly protein 1,protein-coding,-,-,-,putative assembly protein 1,20200620,-
1958913,55602163,HWB10_gp29,HWB10_gp29,BSPM4_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602164,HWB10_gp30,HWB10_gp30,BSPM4_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958913,55602165,HWB10_gp31,HWB10_gp31,BSPM4_0031,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
1958913,55602166,HWB10_gp32,HWB10_gp32,BSPM4_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602167,HWB10_gp33,HWB10_gp33,BSPM4_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602168,HWB10_gp34,HWB10_gp34,BSPM4_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602169,HWB10_gp35,HWB10_gp35,BSPM4_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602170,HWB10_gp36,HWB10_gp36,BSPM4_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602171,HWB10_gp37,HWB10_gp37,BSPM4_0037,-,-,-,putative endolysin 2,protein-coding,-,-,-,putative endolysin 2,20201221,-
1958913,55602172,HWB10_gp38,HWB10_gp38,BSPM4_0038,-,-,-,putative lysis protein A,protein-coding,-,-,-,putative lysis protein A,20210424,-
1958913,55602173,HWB10_gp39,HWB10_gp39,BSPM4_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602174,HWB10_gp40,HWB10_gp40,BSPM4_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602175,HWB10_gp41,HWB10_gp41,BSPM4_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602176,HWB10_gp42,HWB10_gp42,BSPM4_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602177,HWB10_gp43,HWB10_gp43,BSPM4_0043,-,-,-,NinC protein,protein-coding,-,-,-,NinC protein,20200620,-
1958913,55602178,HWB10_gp44,HWB10_gp44,BSPM4_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602179,HWB10_gp45,HWB10_gp45,BSPM4_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602180,HWB10_gp46,HWB10_gp46,BSPM4_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602181,HWB10_gp47,HWB10_gp47,BSPM4_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602182,HWB10_gp48,HWB10_gp48,BSPM4_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602183,HWB10_gp49,HWB10_gp49,BSPM4_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602184,HWB10_gp50,HWB10_gp50,BSPM4_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602185,HWB10_gp51,HWB10_gp51,BSPM4_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1958913,55602186,HWB10_gp52,HWB10_gp52,BSPM4_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602187,HWB10_gp53,HWB10_gp53,BSPM4_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602188,HWB10_gp54,HWB10_gp54,BSPM4_0054,-,-,-,putative N-6-adenine-methyltransferase,protein-coding,-,-,-,putative N-6-adenine-methyltransferase,20210424,-
1958913,55602189,HWB10_gp55,HWB10_gp55,BSPM4_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602190,HWB10_gp56,HWB10_gp56,BSPM4_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602191,HWB10_gp57,HWB10_gp57,BSPM4_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602192,HWB10_gp58,HWB10_gp58,BSPM4_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602193,HWB10_gp59,HWB10_gp59,BSPM4_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602194,HWB10_gp60,HWB10_gp60,BSPM4_0060,-,-,-,putative recombination-associated protein RdgC,protein-coding,-,-,-,putative recombination-associated protein RdgC,20210424,-
1958913,55602195,HWB10_gp61,HWB10_gp61,BSPM4_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602196,HWB10_gp62,HWB10_gp62,BSPM4_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602197,HWB10_gp63,HWB10_gp63,BSPM4_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602198,HWB10_gp64,HWB10_gp64,BSPM4_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602199,HWB10_gp65,HWB10_gp65,BSPM4_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602200,HWB10_gp66,HWB10_gp66,BSPM4_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958913,55602201,HWB10_gp67,HWB10_gp67,BSPM4_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602202,HWB10_gp68,HWB10_gp68,BSPM4_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602203,HWB10_gp69,HWB10_gp69,BSPM4_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602204,HWB10_gp70,HWB10_gp70,BSPM4_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602205,HWB10_gp71,HWB10_gp71,BSPM4_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602206,HWB10_gp72,HWB10_gp72,BSPM4_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602207,HWB10_gp73,HWB10_gp73,BSPM4_0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602208,HWB10_gp74,HWB10_gp74,BSPM4_0074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602209,HWB10_gp75,HWB10_gp75,BSPM4_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602210,HWB10_gp76,HWB10_gp76,BSPM4_0076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602211,HWB10_gp77,HWB10_gp77,BSPM4_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602212,HWB10_gp78,HWB10_gp78,BSPM4_0078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602213,HWB10_gp01,HWB10_gp01,BSPM4_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55635688,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella Typhimurium bacteriophage BSPM4).,other,-,-,-,-,20200622,-
