#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
57477,13828923,D307_gp267,D307_gp267,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200908,-
57477,13828975,D307_gp222,D307_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828976,D307_gp221,D307_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828977,D307_gp220,D307_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828978,D307_gp219,D307_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828979,D307_gp218,D307_gp218,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20200908,-
57477,13828980,D307_gp217,D307_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828981,D307_gp216,D307_gp216,-,-,-,-,phage exodeoxyribonuclease,protein-coding,-,-,-,phage exodeoxyribonuclease,20200908,-
57477,13828982,D307_gp215,D307_gp215,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200908,-
57477,13828983,D307_gp214,D307_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828984,D307_gp213,D307_gp213,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200908,-
57477,13828985,D307_gp212,D307_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828986,D307_gp211,D307_gp211,-,-,-,-,deoxyuridine 5-triphosphate nucleotidohydrolase Dut,protein-coding,-,-,-,deoxyuridine 5-triphosphate nucleotidohydrolase Dut,20200908,-
57477,13828987,D307_gp210,D307_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828988,D307_gp209,D307_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828989,D307_gp208,D307_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828990,D307_gp207,D307_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828991,D307_gp206,D307_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828992,D307_gp205,D307_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828993,D307_gp204,D307_gp204,-,-,-,-,ribonucleotide reductase class Ia subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia subunit,20200908,-
57477,13828994,D307_gp203,D307_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828995,D307_gp202,D307_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828996,D307_gp201,D307_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828997,D307_gp200,D307_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828998,D307_gp199,D307_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828999,D307_gp198,D307_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829000,D307_gp197,D307_gp197,-,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20200908,-
57477,13829001,D307_gp196,D307_gp196,-,-,-,-,flavodoxin,protein-coding,-,-,-,flavodoxin,20200908,-
57477,13829002,D307_gp195,D307_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829003,D307_gp194,D307_gp194,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200908,-
57477,13829004,D307_gp193,D307_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829005,D307_gp192,D307_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829006,D307_gp191,D307_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829007,D307_gp190,D307_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829008,D307_gp189,D307_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829009,D307_gp188,D307_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829010,D307_gp187,D307_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829011,D307_gp186,D307_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829012,D307_gp185,D307_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829013,D307_gp184,D307_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829014,D307_gp183,D307_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829015,D307_gp182,D307_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829016,D307_gp181,D307_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829017,D307_gp180,D307_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829018,D307_gp179,D307_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829019,D307_gp178,D307_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829020,D307_gp177,D307_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829021,D307_gp176,D307_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829022,D307_gp175,D307_gp175,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200908,-
57477,13829023,D307_gp174,D307_gp174,-,-,-,-,I-BasI,protein-coding,-,-,-,I-BasI,20201220,-
57477,13829024,D307_gp173,D307_gp173,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200908,-
57477,13829025,D307_gp172,D307_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829026,D307_gp171,D307_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829027,D307_gp170,D307_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829028,D307_gp169,D307_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829029,D307_gp168,D307_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829030,D307_gp167,D307_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829031,D307_gp166,D307_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829032,D307_gp165,D307_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829033,D307_gp164,D307_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829034,D307_gp163,D307_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829035,D307_gp162,D307_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829036,D307_gp161,D307_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829037,D307_gp160,D307_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829038,D307_gp159,D307_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829039,D307_gp158,D307_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829040,D307_gp157,D307_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829041,D307_gp156,D307_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829042,D307_gp155,D307_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829043,D307_gp154,D307_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829044,D307_gp153,D307_gp153,-,-,-,-,recA-like recombination repair protein,protein-coding,-,-,-,recA-like recombination repair protein,20200908,-
57477,13829045,D307_gp152,D307_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829046,D307_gp151,D307_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829047,D307_gp150,D307_gp150,-,-,-,-,"2-diacylglycerol, 3-glucosyltransferase",protein-coding,-,-,-,"2-diacylglycerol, 3-glucosyltransferase",20200908,-
57477,13829048,D307_gp149,D307_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829049,D307_gp148,D307_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829050,D307_gp147,D307_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829051,D307_gp146,D307_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829052,D307_gp145,D307_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829053,D307_gp144,D307_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829054,D307_gp143,D307_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829055,D307_gp142,D307_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829056,D307_gp141,D307_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829057,D307_gp140,D307_gp140,-,-,-,-,putative hydrolase,protein-coding,-,-,-,putative hydrolase,20200908,-
57477,13829058,D307_gp139,D307_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829059,D307_gp138,D307_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829060,D307_gp137,D307_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829061,D307_gp136,D307_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829062,D307_gp135,D307_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829063,D307_gp134,D307_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829064,D307_gp133,D307_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829065,D307_gp132,D307_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829066,D307_gp131,D307_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829067,D307_gp130,D307_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829068,D307_gp129,D307_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829069,D307_gp128,D307_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829070,D307_gp127,D307_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829071,D307_gp126,D307_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829072,D307_gp125,D307_gp125,-,-,-,-,Transposase,protein-coding,-,-,-,Transposase,20200908,-
57477,13829073,D307_gp124,D307_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829074,D307_gp123,D307_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829075,D307_gp122,D307_gp122,-,-,-,-,RNA polymerase sigma-F factor,protein-coding,-,-,-,RNA polymerase sigma-F factor,20200908,-
57477,13829076,D307_gp121,D307_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829077,D307_gp120,D307_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829078,D307_gp119,D307_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829079,D307_gp118,D307_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829080,D307_gp117,D307_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829081,D307_gp116,D307_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829082,D307_gp115,D307_gp115,-,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20200908,-
57477,13829083,D307_gp114,D307_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829084,D307_gp113,D307_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829085,D307_gp112,D307_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829086,D307_gp111,D307_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829087,D307_gp110,D307_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829088,D307_gp109,D307_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829089,D307_gp108,D307_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829090,D307_gp107,D307_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829091,D307_gp106,D307_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829092,D307_gp105,D307_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829093,D307_gp104,D307_gp104,-,-,-,-,DNA-binding ATPase,protein-coding,-,-,-,DNA-binding ATPase,20200908,-
57477,13829094,D307_gp103,D307_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829095,D307_gp102,D307_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829096,D307_gp101,D307_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829097,D307_gp100,D307_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829098,D307_gp099,D307_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829099,D307_gp098,D307_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829100,D307_gp097,D307_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829101,D307_gp096,D307_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829102,D307_gp095,D307_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829103,D307_gp094,D307_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829104,D307_gp093,D307_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829105,D307_gp092,D307_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829106,D307_gp091,D307_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829107,D307_gp090,D307_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829108,D307_gp089,D307_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829109,D307_gp088,D307_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829110,D307_gp087,D307_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829111,D307_gp086,D307_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829112,D307_gp085,D307_gp085,-,-,-,-,class I lysyl-tRNA synthetase,protein-coding,-,-,-,class I lysyl-tRNA synthetase,20200908,-
57477,13829113,D307_gp084,D307_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829114,D307_gp083,D307_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829115,D307_gp082,D307_gp082,-,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20200908,-
57477,13829116,D307_gp081,D307_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829117,D307_gp080,D307_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829118,D307_gp079,D307_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829119,D307_gp078,D307_gp078,-,-,-,-,putative ligase,protein-coding,-,-,-,putative ligase,20200908,-
57477,13829120,D307_gp077,D307_gp077,-,-,-,-,tRNA (cytosine34-2-O-)-methyltransferase,protein-coding,-,-,-,tRNA (cytosine34-2-O-)-methyltransferase,20200908,-
57477,13829121,D307_gp076,D307_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829122,D307_gp075,D307_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829123,D307_gp074,D307_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829124,D307_gp073,D307_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829125,D307_gp072,D307_gp072,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase family protein,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase family protein,20200908,-
57477,13829126,D307_gp071,D307_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829127,D307_gp070,D307_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829128,D307_gp069,D307_gp069,-,-,-,-,putative recombinase protein,protein-coding,-,-,-,putative recombinase protein,20200908,-
57477,13829129,D307_gp068,D307_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829130,D307_gp067,D307_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829131,D307_gp066,D307_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829132,D307_gp065,D307_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829133,D307_gp064,D307_gp064,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200908,-
57477,13829134,D307_gp063,D307_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829135,D307_gp062,D307_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13829136,D307_gp061,D307_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
