#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719595,58557345,H6S71_gp02,H6S71_gp02,antinowhere_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200919,-
2719595,58557361,H6S71_gp18,H6S71_gp18,antinowhere_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557362,H6S71_gp19,H6S71_gp19,antinowhere_19,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210320,-
2719595,58557363,H6S71_gp20,H6S71_gp20,antinowhere_20,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200817,-
2719595,58557364,H6S71_gp21,H6S71_gp21,antinowhere_21,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210320,-
2719595,58557365,H6S71_gp22,H6S71_gp22,antinowhere_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557366,H6S71_gp23,H6S71_gp23,antinowhere_23,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210129,-
2719595,58557367,H6S71_gp24,H6S71_gp24,antinowhere_24,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210327,-
2719595,58557368,H6S71_gp25,H6S71_gp25,antinowhere_25,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200817,-
2719595,58557369,H6S71_gp26,H6S71_gp26,antinowhere_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557370,H6S71_gp27,H6S71_gp27,antinowhere_27,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210403,-
2719595,58557371,H6S71_gp28,H6S71_gp28,antinowhere_28,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200817,-
2719595,58557372,H6S71_gp29,H6S71_gp29,antinowhere_29,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200817,-
2719595,58557373,H6S71_gp30,H6S71_gp30,antinowhere_30,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200817,-
2719595,58557374,H6S71_gp31,H6S71_gp31,antinowhere_31,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210327,-
2719595,58557375,H6S71_gp32,H6S71_gp32,antinowhere_32,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200817,-
2719595,58557376,H6S71_gp33,H6S71_gp33,antinowhere_33,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200817,-
2719595,58557377,H6S71_gp34,H6S71_gp34,antinowhere_34,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200817,-
2719595,58557378,H6S71_gp35,H6S71_gp35,antinowhere_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557379,H6S71_gp36,H6S71_gp36,antinowhere_36,-,-,-,putative tail protein containing transglycosylase,protein-coding,-,-,-,putative tail protein containing transglycosylase,20210320,-
2719595,58557380,H6S71_gp37,H6S71_gp37,antinowhere_37,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200817,-
2719595,58557381,H6S71_gp38,H6S71_gp38,antinowhere_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557382,H6S71_gp39,H6S71_gp39,antinowhere_39,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210129,-
2719595,58557383,H6S71_gp40,H6S71_gp40,antinowhere_40,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210403,-
2719595,58557384,H6S71_gp41,H6S71_gp41,antinowhere_41,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210320,-
2719595,58557385,H6S71_gp42,H6S71_gp42,antinowhere_42,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210320,-
2719595,58557386,H6S71_gp43,H6S71_gp43,antinowhere_43,-,-,-,tail fiber component,protein-coding,-,-,-,tail fiber component,20200817,-
2719595,58557387,H6S71_gp44,H6S71_gp44,antinowhere_44,-,-,-,lytic enzyme,protein-coding,-,-,-,lytic enzyme,20210403,-
2719595,58557388,H6S71_gp45,H6S71_gp45,antinowhere_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557389,H6S71_gp46,H6S71_gp46,antinowhere_46,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210320,-
2719595,58557390,H6S71_gp47,H6S71_gp47,antinowhere_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201003,-
2719595,58557391,H6S71_gp48,H6S71_gp48,antinowhere_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557392,H6S71_gp49,H6S71_gp49,antinowhere_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557393,H6S71_gp50,H6S71_gp50,antinowhere_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557394,H6S71_gp51,H6S71_gp51,antinowhere_51,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210320,-
2719595,58557395,H6S71_gp52,H6S71_gp52,antinowhere_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200817,-
2719595,58557396,H6S71_gp53,H6S71_gp53,antinowhere_53,-,-,-,DNA polymerase III subunit alpha,protein-coding,-,-,-,DNA polymerase III subunit alpha,20210320,-
2719595,58557397,H6S71_gp54,H6S71_gp54,antinowhere_54,-,-,-,"putative DNA polymerase III, epsilon subunit",protein-coding,-,-,-,"putative DNA polymerase III, epsilon subunit",20201003,-
2719595,58557398,H6S71_gp55,H6S71_gp55,antinowhere_55,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210320,-
2719595,58557399,H6S71_gp56,H6S71_gp56,antinowhere_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557400,H6S71_gp57,H6S71_gp57,antinowhere_57,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210403,-
2719595,58557401,H6S71_gp58,H6S71_gp58,antinowhere_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557402,H6S71_gp59,H6S71_gp59,antinowhere_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557403,H6S71_gp60,H6S71_gp60,antinowhere_60,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200817,-
2719595,58557404,H6S71_gp61,H6S71_gp61,antinowhere_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557405,H6S71_gp62,H6S71_gp62,antinowhere_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557406,H6S71_gp63,H6S71_gp63,antinowhere_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719595,58557407,H6S71_gp64,H6S71_gp64,antinowhere_64,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200817,-
2719595,58557408,H6S71_gp65,H6S71_gp65,antinowhere_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557409,H6S71_gp66,H6S71_gp66,antinowhere_66,-,-,-,RecD,protein-coding,-,-,-,RecD,20210320,-
2719595,58557410,H6S71_gp67,H6S71_gp67,antinowhere_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557411,H6S71_gp68,H6S71_gp68,antinowhere_68,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200817,-
2719595,58557412,H6S71_gp69,H6S71_gp69,antinowhere_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719595,58557413,H6S71_gp70,H6S71_gp70,antinowhere_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557414,H6S71_gp71,H6S71_gp71,antinowhere_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719595,58557415,H6S71_gp72,H6S71_gp72,antinowhere_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557416,H6S71_gp73,H6S71_gp73,antinowhere_73,-,-,-,virulence-associated protein E,protein-coding,-,-,-,virulence-associated protein E,20210320,-
2719595,58557417,H6S71_gp74,H6S71_gp74,antinowhere_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557418,H6S71_gp75,H6S71_gp75,antinowhere_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557419,H6S71_gp76,H6S71_gp76,antinowhere_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557420,H6S71_gp77,H6S71_gp77,antinowhere_77,-,-,-,IgA FC receptor precursor,protein-coding,-,-,-,IgA FC receptor precursor,20200817,-
2719595,58557421,H6S71_gp78,H6S71_gp78,antinowhere_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557422,H6S71_gp79,H6S71_gp79,antinowhere_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557423,H6S71_gp80,H6S71_gp80,antinowhere_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557424,H6S71_gp81,H6S71_gp81,antinowhere_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557425,H6S71_gp82,H6S71_gp82,antinowhere_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557426,H6S71_gp83,H6S71_gp83,antinowhere_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557427,H6S71_gp84,H6S71_gp84,antinowhere_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557428,H6S71_gp85,H6S71_gp85,antinowhere_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557429,H6S71_gp86,H6S71_gp86,antinowhere_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557430,H6S71_gp87,H6S71_gp87,antinowhere_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557431,H6S71_gp88,H6S71_gp88,antinowhere_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557432,H6S71_gp89,H6S71_gp89,antinowhere_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557433,H6S71_gp90,H6S71_gp90,antinowhere_90,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210320,-
2719595,58557434,H6S71_gp91,H6S71_gp91,antinowhere_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557435,H6S71_gp92,H6S71_gp92,antinowhere_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557436,H6S71_gp01,H6S71_gp01,antinowhere_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58729619,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200819,-
