#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719186,58556792,H6S66_gp67,H6S66_gp67,14_00067,-,-,-,3' to 5' DNA exonuclease,protein-coding,-,-,-,3' to 5' DNA exonuclease,20210327,-
2719186,58556819,H6S66_gp34,H6S66_gp34,14_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719186,58556820,H6S66_gp64,H6S66_gp64,14_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556821,H6S66_gp89,H6S66_gp89,14_00089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556822,H6S66_gp62,H6S66_gp62,14_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556823,H6S66_gp48,H6S66_gp48,14_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556824,H6S66_gp22,H6S66_gp22,14_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556825,H6S66_gp40,H6S66_gp40,14_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556826,H6S66_gp87,H6S66_gp87,14_00087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556827,H6S66_gp88,H6S66_gp88,14_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556828,H6S66_gp61,H6S66_gp61,14_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556829,H6S66_gp68,H6S66_gp68,14_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556830,H6S66_gp82,H6S66_gp82,14_00082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556831,H6S66_gp39,H6S66_gp39,14_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556832,H6S66_gp47,H6S66_gp47,14_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556833,H6S66_gp52,H6S66_gp52,14_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2719186,58556834,H6S66_gp46,H6S66_gp46,14_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556835,H6S66_gp09,H6S66_gp09,14_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556836,H6S66_gp37,H6S66_gp37,14_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719186,58556837,H6S66_gp42,H6S66_gp42,14_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556838,H6S66_gp83,H6S66_gp83,14_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556839,H6S66_gp21,H6S66_gp21,14_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556840,H6S66_gp36,H6S66_gp36,14_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719186,58556841,H6S66_gp18,H6S66_gp18,14_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556842,H6S66_gp45,H6S66_gp45,14_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556843,H6S66_gp49,H6S66_gp49,14_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556844,H6S66_gp57,H6S66_gp57,14_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2719186,58556845,H6S66_gp80,H6S66_gp80,14_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556846,H6S66_gp20,H6S66_gp20,14_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556847,H6S66_gp66,H6S66_gp66,14_00066,-,-,-,DNA polymerase III alpha chain,protein-coding,-,-,-,DNA polymerase III alpha chain,20210320,-
2719186,58556848,H6S66_gp28,H6S66_gp28,14_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556849,H6S66_gp38,H6S66_gp38,14_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556850,H6S66_gp15,H6S66_gp15,14_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719186,58556851,H6S66_gp12,H6S66_gp12,14_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556852,H6S66_gp19,H6S66_gp19,14_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556853,H6S66_gp17,H6S66_gp17,14_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556854,H6S66_gp44,H6S66_gp44,14_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556855,H6S66_gp25,H6S66_gp25,14_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556856,H6S66_gp93,H6S66_gp93,14_00093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556857,H6S66_gp27,H6S66_gp27,14_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556858,H6S66_gp43,H6S66_gp43,14_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556859,H6S66_gp26,H6S66_gp26,14_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556860,H6S66_gp10,H6S66_gp10,14_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556861,H6S66_gp91,H6S66_gp91,14_00091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556862,H6S66_gp73,H6S66_gp73,14_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556863,H6S66_gp59,H6S66_gp59,14_00059,-,-,-,ATP dependent DNA ligase,protein-coding,-,-,-,ATP dependent DNA ligase,20210320,-
2719186,58556864,H6S66_gp76,H6S66_gp76,14_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556865,H6S66_gp92,H6S66_gp92,14_00092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556866,H6S66_gp74,H6S66_gp74,14_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556867,H6S66_gp75,H6S66_gp75,14_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556868,H6S66_gp04,H6S66_gp04,14_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556869,H6S66_gp16,H6S66_gp16,14_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556870,H6S66_gp08,H6S66_gp08,14_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556871,H6S66_gp31,H6S66_gp31,14_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556872,H6S66_gp72,H6S66_gp72,14_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556873,H6S66_gp05,H6S66_gp05,14_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556874,H6S66_gp13,H6S66_gp13,14_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556875,H6S66_gp70,H6S66_gp70,14_00070,-,-,-,FAD dependent thymidylate synthase,protein-coding,-,-,-,FAD dependent thymidylate synthase,20210320,-
2719186,58556876,H6S66_gp07,H6S66_gp07,14_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556877,H6S66_gp03,H6S66_gp03,14_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556878,H6S66_gp06,H6S66_gp06,14_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556879,H6S66_gp85,H6S66_gp85,14_00085,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210320,-
2719186,58556880,H6S66_gp11,H6S66_gp11,14_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556881,H6S66_gp32,H6S66_gp32,14_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719186,58556882,H6S66_gp02,H6S66_gp02,14_00002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556883,H6S66_gp23,H6S66_gp23,14_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556884,H6S66_gp01,H6S66_gp01,14_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58729615,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200819,-
