#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696375,56134360,H1N95_gp02,H1N95_gp02,aalborv_2,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210313,-
2696375,56134388,H1N95_gp30,H1N95_gp30,aalborv_30,-,-,-,putative zonula occludens toxin,protein-coding,-,-,-,putative zonula occludens toxin,20200724,-
2696375,56134389,H1N95_gp31,H1N95_gp31,aalborv_31,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
2696375,56134390,H1N95_gp32,H1N95_gp32,aalborv_32,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20210313,-
2696375,56134391,H1N95_gp33,H1N95_gp33,aalborv_33,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210313,-
2696375,56134392,H1N95_gp34,H1N95_gp34,aalborv_34,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2696375,56134393,H1N95_gp35,H1N95_gp35,aalborv_35,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200724,-
2696375,56134394,H1N95_gp36,H1N95_gp36,aalborv_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134395,H1N95_gp37,H1N95_gp37,aalborv_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134396,H1N95_gp38,H1N95_gp38,aalborv_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134397,H1N95_gp39,H1N95_gp39,aalborv_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134398,H1N95_gp40,H1N95_gp40,aalborv_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134399,H1N95_gp41,H1N95_gp41,aalborv_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134400,H1N95_gp42,H1N95_gp42,aalborv_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134401,H1N95_gp43,H1N95_gp43,aalborv_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134402,H1N95_gp44,H1N95_gp44,aalborv_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134403,H1N95_gp45,H1N95_gp45,aalborv_45,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210313,-
2696375,56134404,H1N95_gp46,H1N95_gp46,aalborv_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134405,H1N95_gp47,H1N95_gp47,aalborv_47,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210313,-
2696375,56134406,H1N95_gp48,H1N95_gp48,aalborv_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134407,H1N95_gp49,H1N95_gp49,aalborv_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134408,H1N95_gp50,H1N95_gp50,aalborv_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134409,H1N95_gp51,H1N95_gp51,aalborv_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134410,H1N95_gp52,H1N95_gp52,aalborv_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134411,H1N95_gp53,H1N95_gp53,aalborv_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134412,H1N95_gp54,H1N95_gp54,aalborv_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134413,H1N95_gp55,H1N95_gp55,aalborv_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134414,H1N95_gp56,H1N95_gp56,aalborv_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134415,H1N95_gp57,H1N95_gp57,aalborv_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134416,H1N95_gp58,H1N95_gp58,aalborv_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134417,H1N95_gp59,H1N95_gp59,aalborv_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134418,H1N95_gp60,H1N95_gp60,aalborv_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134419,H1N95_gp61,H1N95_gp61,aalborv_61,-,-,-,putative site specific DNA methylase,protein-coding,-,-,-,putative site specific DNA methylase,20200724,-
2696375,56134420,H1N95_gp62,H1N95_gp62,aalborv_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134421,H1N95_gp63,H1N95_gp63,aalborv_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134422,H1N95_gp64,H1N95_gp64,aalborv_64,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210313,-
2696375,56134423,H1N95_gp65,H1N95_gp65,aalborv_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134424,H1N95_gp66,H1N95_gp66,aalborv_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134425,H1N95_gp67,H1N95_gp67,aalborv_67,-,-,-,RzlA,protein-coding,-,-,-,RzlA,20200724,-
2696375,56134426,H1N95_gp68,H1N95_gp68,aalborv_68,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210313,-
2696375,56134427,H1N95_gp69,H1N95_gp69,aalborv_69,-,-,-,holin,protein-coding,-,-,-,holin,20200724,-
2696375,56134428,H1N95_gp70,H1N95_gp70,aalborv_70,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200724,-
2696375,56134429,H1N95_gp71,H1N95_gp71,aalborv_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696375,56134430,H1N95_gp01,H1N95_gp01,aalborv_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56166685,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
