#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852640,40092556,FDI76_gp121,FDI76_gp121,-,-,-,-,DNA-binding protein HU-beta,protein-coding,-,-,-,DNA-binding protein HU-beta,20201221,-
1852640,40092557,FDI76_gp120,FDI76_gp120,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1852640,40092558,FDI76_gp119,FDI76_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092559,FDI76_gp118,FDI76_gp118,-,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20201010,-
1852640,40092560,FDI76_gp117,FDI76_gp117,-,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20201010,-
1852640,40092561,FDI76_gp116,FDI76_gp116,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20201010,-
1852640,40092562,FDI76_gp115,FDI76_gp115,-,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20201221,-
1852640,40092563,FDI76_gp114,FDI76_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092564,FDI76_gp113,FDI76_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092565,FDI76_gp112,FDI76_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092566,FDI76_gp111,FDI76_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092567,FDI76_gp110,FDI76_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092568,FDI76_gp109,FDI76_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092569,FDI76_gp108,FDI76_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092570,FDI76_gp107,FDI76_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092571,FDI76_gp106,FDI76_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092572,FDI76_gp105,FDI76_gp105,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201010,-
1852640,40092573,FDI76_gp104,FDI76_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092574,FDI76_gp103,FDI76_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092575,FDI76_gp102,FDI76_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092576,FDI76_gp101,FDI76_gp101,-,-,-,-,putative peptidoglycan binding protein,protein-coding,-,-,-,putative peptidoglycan binding protein,20201010,-
1852640,40092577,FDI76_gp100,FDI76_gp100,-,-,-,-,phosphate starvation-inducible protein PhoH,protein-coding,-,-,-,phosphate starvation-inducible protein PhoH,20201010,-
1852640,40092578,FDI76_gp099,FDI76_gp099,-,-,-,-,ribonucleotide reductase of class Ia,protein-coding,-,-,-,ribonucleotide reductase of class Ia,20201221,-
1852640,40092579,FDI76_gp098,FDI76_gp098,-,-,-,-,ribonucleotide reductase of class Ia,protein-coding,-,-,-,ribonucleotide reductase of class Ia,20201221,-
1852640,40092580,FDI76_gp097,FDI76_gp097,-,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20201010,-
1852640,40092581,FDI76_gp096,FDI76_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092582,FDI76_gp095,FDI76_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092583,FDI76_gp094,FDI76_gp094,-,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20201221,-
1852640,40092584,FDI76_gp093,FDI76_gp093,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20201221,-
1852640,40092585,FDI76_gt002,FDI76_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852640,40120323,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Serratia phage vB_Sru_IME250; Serratia rubidaea phage vB_Sru_IME250).,other,-,-,-,-,20200513,-
