#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1069201,38573598,cob,EJ508_mgp01,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210417,-
1069201,38573614,nad1,EJ508_mgp16,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210424,-
1069201,38573615,EJ508_mgt03,EJ508_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573616,atp8,EJ508_mgp12,-,-,MT,-,ATP synthase subunit 8,protein-coding,-,-,-,ATP synthase subunit 8,20210417,-
1069201,38573617,EJ508_mgr02,EJ508_mgr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
1069201,38573618,EJ508_mgt05,EJ508_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573619,nad6,EJ508_mgp10,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210424,-
1069201,38573620,EJ508_mgt07,EJ508_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573621,EJ508_mgt08,EJ508_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573622,EJ508_mgt09,EJ508_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573623,EJ508_mgt10,EJ508_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573624,EJ508_mgt11,EJ508_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573625,EJ508_mgt12,EJ508_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573626,EJ508_mgt13,EJ508_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573627,EJ508_mgr01,EJ508_mgr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
1069201,38573628,EJ508_mgt14,EJ508_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573629,EJ508_mgt15,EJ508_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573630,EJ508_mgt16,EJ508_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573631,EJ508_mgt17,EJ508_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573632,EJ508_mgt18,EJ508_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573633,EJ508_mgt19,EJ508_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573634,EJ508_mgt20,EJ508_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573635,EJ508_mgt21,EJ508_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573636,EJ508_mgt22,EJ508_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573637,EJ508_mgt23,EJ508_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573638,EJ508_mgt24,EJ508_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573639,EJ508_mgt25,EJ508_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573640,cox1,EJ508_mgp08,-,-,MT,-,cytochrome oxidase subunit 1,protein-coding,-,-,-,cytochrome oxidase subunit 1,20181231,-
1069201,38573641,nad4L,EJ508_mgp04,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210417,-
1069201,64954280,AKAW2_10001S,AKAW2_10001S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954281,AKAW2_10002A,AKAW2_10002A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954282,AKAW2_10003A,AKAW2_10003A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954283,AKAW2_10004A,AKAW2_10004A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954284,AKAW2_10005A,AKAW2_10005A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954285,AKAW2_10006A,AKAW2_10006A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954286,AKAW2_10007S,AKAW2_10007S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954287,AKAW2_10008A,AKAW2_10008A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954288,AKAW2_10009A,AKAW2_10009A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954289,AKAW2_10010A,AKAW2_10010A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954290,AKAW2_10011A,AKAW2_10011A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954291,AKAW2_10012S,AKAW2_10012S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954292,AKAW2_10013S,AKAW2_10013S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954293,AKAW2_10014A,AKAW2_10014A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954294,AKAW2_10015A,AKAW2_10015A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954295,AKAW2_10016S,AKAW2_10016S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954296,AKAW2_10017S,AKAW2_10017S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954297,AKAW2_10018A,AKAW2_10018A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954298,AKAW2_10019S,AKAW2_10019S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954299,AKAW2_10020S,AKAW2_10020S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954300,AKAW2_10021S,AKAW2_10021S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954301,AKAW2_10022S,AKAW2_10022S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954302,AKAW2_10023S,AKAW2_10023S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954303,AKAW2_10024A,AKAW2_10024A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954304,AKAW2_10025A,AKAW2_10025A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954305,AKAW2_10026S,AKAW2_10026S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954306,AKAW2_10027S,AKAW2_10027S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954307,AKAW2_10028A,AKAW2_10028A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954308,AKAW2_10029S,AKAW2_10029S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954309,AKAW2_10030S,AKAW2_10030S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954310,AKAW2_10031A,AKAW2_10031A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954311,AKAW2_10032S,AKAW2_10032S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954312,AKAW2_10033A,AKAW2_10033A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954313,NEG1,AKAW2_10034A,-,-,1,-,"endo-1,6-beta-D-glucanase Neg1",protein-coding,-,-,-,"endo-1,6-beta-D-glucanase Neg1",20210521,-
1069201,64954314,AKAW2_10035S,AKAW2_10035S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954315,AKAW2_10036S,AKAW2_10036S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954316,AKAW2_10037S,AKAW2_10037S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954317,AKAW2_10038S,AKAW2_10038S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954318,AKAW2_10039A,AKAW2_10039A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954319,AKAW2_10040A,AKAW2_10040A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954320,AKAW2_10041A,AKAW2_10041A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954321,AKAW2_10042A,AKAW2_10042A,-,-,1,-,putative secondary metabolism biosynthetic enzyme,protein-coding,-,-,-,putative secondary metabolism biosynthetic enzyme,20210605,-
1069201,64954322,AKAW2_10043S,AKAW2_10043S,-,-,1,-,type I iterative PKS,protein-coding,-,-,-,type I iterative PKS,20210605,-
1069201,64954323,AKAW2_10044S,AKAW2_10044S,-,-,1,-,putative secondary metabolism biosynthetic enzyme,protein-coding,-,-,-,putative secondary metabolism biosynthetic enzyme,20210605,-
1069201,64954324,AKAW2_10045S,AKAW2_10045S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954325,AKAW2_10046S,AKAW2_10046S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954326,DCW1_1,AKAW2_10047S,-,-,1,-,hydrolase 76 protein,protein-coding,-,-,-,hydrolase 76 protein,20210521,-
1069201,64954327,AKAW2_10048S,AKAW2_10048S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954328,AKAW2_10049S,AKAW2_10049S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954329,AKAW2_10050A,AKAW2_10050A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954330,AKAW2_10051S,AKAW2_10051S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954331,AKAW2_10052S,AKAW2_10052S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954332,AKAW2_10053A,AKAW2_10053A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954333,AKAW2_10054A,AKAW2_10054A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954334,AKAW2_10055A,AKAW2_10055A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954335,AKAW2_10056S,AKAW2_10056S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954336,AKAW2_10057S,AKAW2_10057S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954337,AKAW2_10058S,AKAW2_10058S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954338,AKAW2_10059S,AKAW2_10059S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954339,AKAW2_10060A,AKAW2_10060A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954340,GRE2_1,AKAW2_10061A,-,-,1,-,putative secondary metabolism biosynthetic enzyme,protein-coding,-,-,-,putative secondary metabolism biosynthetic enzyme,20210521,-
1069201,64954341,AKAW2_10062A,AKAW2_10062A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954342,AKAW2_10063S,AKAW2_10063S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954343,AKAW2_10064S,AKAW2_10064S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954344,AKAW2_10065A,AKAW2_10065A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954345,AKAW2_10066S,AKAW2_10066S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954346,AKAW2_10067S,AKAW2_10067S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954347,AKAW2_10068A,AKAW2_10068A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954348,AKAW2_10069A,AKAW2_10069A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954349,AKAW2_10070S,AKAW2_10070S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954350,AKAW2_10071S,AKAW2_10071S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954351,AKAW2_10072A,AKAW2_10072A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954352,AKAW2_10073A,AKAW2_10073A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954353,AKAW2_10074S,AKAW2_10074S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954354,AKAW2_10075A,AKAW2_10075A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954355,AKAW2_10076S,AKAW2_10076S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954356,AKAW2_10077A,AKAW2_10077A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954357,AKAW2_10078A,AKAW2_10078A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954358,AKAW2_10079A,AKAW2_10079A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954359,AKAW2_10080S,AKAW2_10080S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954360,AKAW2_10081S,AKAW2_10081S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954361,AKAW2_10082A,AKAW2_10082A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954362,AKAW2_10083S,AKAW2_10083S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954363,AKAW2_10084S,AKAW2_10084S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954364,AKAW2_10085S,AKAW2_10085S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954365,AKAW2_10086A,AKAW2_10086A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954366,SIT2_1,AKAW2_10087A,-,-,1,-,siderochrome iron transporter 2,protein-coding,-,-,-,siderochrome iron transporter 2,20210521,-
1069201,64954367,AKAW2_10088S,AKAW2_10088S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954368,AKAW2_10089S,AKAW2_10089S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954369,AKAW2_10090S,AKAW2_10090S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954370,AKAW2_10091S,AKAW2_10091S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954371,PYR7,AKAW2_10092A,-,-,1,-,CTP synthase,protein-coding,-,-,-,CTP synthase,20210521,-
1069201,64954372,AKAW2_10093S,AKAW2_10093S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954373,AKAW2_10094S,AKAW2_10094S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954374,AKAW2_10095A,AKAW2_10095A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954375,AKAW2_10096S,AKAW2_10096S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954376,AKAW2_10097A,AKAW2_10097A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954377,AKAW2_10098A,AKAW2_10098A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954378,AKAW2_10099A,AKAW2_10099A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954379,AKAW2_10100S,AKAW2_10100S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954380,AKAW2_10101S,AKAW2_10101S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954381,AKAW2_10102A,AKAW2_10102A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954382,AKAW2_10103A,AKAW2_10103A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954383,AKAW2_10104S,AKAW2_10104S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954384,AKAW2_10105A,AKAW2_10105A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954385,AKAW2_10106S,AKAW2_10106S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954386,AKAW2_10107A,AKAW2_10107A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954387,AKAW2_10108S,AKAW2_10108S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954388,AKAW2_10109S,AKAW2_10109S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954389,AKAW2_10110A,AKAW2_10110A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954390,AKAW2_10111A,AKAW2_10111A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954391,AKAW2_10112S,AKAW2_10112S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954392,AKAW2_10113S,AKAW2_10113S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954393,AKAW2_10114S,AKAW2_10114S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954394,AKAW2_10115A,AKAW2_10115A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954395,AKAW2_10116S,AKAW2_10116S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954396,AKAW2_10117S,AKAW2_10117S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954397,AKAW2_10118A,AKAW2_10118A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954398,AKAW2_10119A,AKAW2_10119A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954399,AKAW2_10120A,AKAW2_10120A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954400,AKAW2_10121S,AKAW2_10121S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954401,AKAW2_10122S,AKAW2_10122S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954402,AKAW2_10123A,AKAW2_10123A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954403,AKAW2_10124A,AKAW2_10124A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954404,AKAW2_10125A,AKAW2_10125A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954405,AKAW2_10126A,AKAW2_10126A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954406,AKAW2_10127S,AKAW2_10127S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954407,AKAW2_10128A,AKAW2_10128A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954408,AKAW2_10129A,AKAW2_10129A,-,-,1,-,putative NRPS-like protein biosynthetic cluster,protein-coding,-,-,-,putative NRPS-like protein biosynthetic cluster,20210521,-
1069201,64954409,AKAW2_10130A,AKAW2_10130A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954410,AKAW2_10131A,AKAW2_10131A,-,-,1,-,type I iterative PKS,protein-coding,-,-,-,type I iterative PKS,20210605,-
1069201,64954411,AKAW2_10132S,AKAW2_10132S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954412,AKAW2_10133A,AKAW2_10133A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954413,AKAW2_10134A,AKAW2_10134A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954414,AKAW2_10135A,AKAW2_10135A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954415,AKAW2_10136A,AKAW2_10136A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1069201,64954416,AKAW2_10137S,AKAW2_10137S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954417,AKAW2_10138S,AKAW2_10138S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954418,AKAW2_10139S,AKAW2_10139S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954419,AKAW2_10140A,AKAW2_10140A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954420,AKAW2_10141A,AKAW2_10141A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954421,AKAW2_10142S,AKAW2_10142S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954422,AKAW2_10143S,AKAW2_10143S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954423,AKAW2_10144A,AKAW2_10144A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954424,AKAW2_10145A,AKAW2_10145A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954425,AKAW2_10146A,AKAW2_10146A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954426,AKAW2_10147A,AKAW2_10147A,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
1069201,64954427,AKAW2_10148S,AKAW2_10148S,-,-,1,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210521,-
